station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
STF;05.11.2006 00:00;0;;
STF;06.11.2006 00:00;0;;
STF;07.11.2006 00:00;0;;
STF;08.11.2006 00:00;0;;
STF;09.11.2006 00:00;1.3;;
STF;10.11.2006 00:00;0;;
STF;11.11.2006 00:00;1.6;;
STF;12.11.2006 00:00;0.4;;
STF;13.11.2006 00:00;2;;
STF;14.11.2006 00:00;0;;
STF;15.11.2006 00:00;0;;
STF;16.11.2006 00:00;0;;
STF;17.11.2006 00:00;1.3;;
STF;18.11.2006 00:00;0;;
STF;19.11.2006 00:00;9;;
STF;20.11.2006 00:00;3.2;;
STF;21.11.2006 00:00;3.7;;
STF;22.11.2006 00:00;0;;
STF;23.11.2006 00:00;0;;
STF;24.11.2006 00:00;0;;
STF;25.11.2006 00:00;0;;
STF;26.11.2006 00:00;0;;
STF;27.11.2006 00:00;0;;
STF;28.11.2006 00:00;5.2;;
STF;29.11.2006 00:00;9.8;;
STF;30.11.2006 00:00;0;;
STF;01.12.2006 00:00;0;;
STF;02.12.2006 00:00;0;;
STF;03.12.2006 00:00;3.5;;
STF;04.12.2006 00:00;2.8;;
STF;05.12.2006 00:00;0.9;;
STF;06.12.2006 00:00;12.5;;
STF;07.12.2006 00:00;0;;
STF;08.12.2006 00:00;28.2;;0
STF;09.12.2006 00:00;4.8;;
STF;10.12.2006 00:00;0;;
STF;11.12.2006 00:00;0;;
STF;12.12.2006 00:00;0;;
STF;13.12.2006 00:00;0;;
STF;14.12.2006 00:00;0;;
STF;15.12.2006 00:00;0;;
STF;16.12.2006 00:00;2.1;;
STF;17.12.2006 00:00;0;;
STF;18.12.2006 00:00;0;;
STF;19.12.2006 00:00;0;;
STF;20.12.2006 00:00;0;;
STF;21.12.2006 00:00;0;;
STF;22.12.2006 00:00;0;;
STF;23.12.2006 00:00;0;;
STF;24.12.2006 00:00;0;;
STF;25.12.2006 00:00;0;;
STF;26.12.2006 00:00;0;;
STF;27.12.2006 00:00;0;;
STF;28.12.2006 00:00;0;;
STF;29.12.2006 00:00;0;;
STF;30.12.2006 00:00;2.7;;
STF;31.12.2006 00:00;5.2;;
STF;01.01.2007 00:00;22.4;;
STF;02.01.2007 00:00;7.1;;
STF;03.01.2007 00:00;0;;
STF;04.01.2007 00:00;2.3;;
STF;05.01.2007 00:00;0;;
STF;06.01.2007 00:00;2.5;;
STF;07.01.2007 00:00;1.9;;
STF;08.01.2007 00:00;1.5;;
STF;09.01.2007 00:00;1.1;;
STF;10.01.2007 00:00;0.7;;
STF;11.01.2007 00:00;0.1;;
STF;12.01.2007 00:00;0;;
STF;13.01.2007 00:00;0;;
STF;14.01.2007 00:00;0;;
STF;15.01.2007 00:00;0;;
STF;16.01.2007 00:00;0;;
STF;17.01.2007 00:00;0;;
STF;18.01.2007 00:00;0.8;;
STF;19.01.2007 00:00;0.3;;
STF;20.01.2007 00:00;2;;
STF;21.01.2007 00:00;0;;
STF;22.01.2007 00:00;1;;
STF;23.01.2007 00:00;8.8;;10
STF;24.01.2007 00:00;2.1;;10
STF;25.01.2007 00:00;0;;
STF;26.01.2007 00:00;0;;
STF;27.01.2007 00:00;0;;
STF;28.01.2007 00:00;0;;
STF;29.01.2007 00:00;0;;
STF;30.01.2007 00:00;0;;
STF;31.01.2007 00:00;0;;
STF;01.02.2007 00:00;0;;0
STF;02.02.2007 00:00;0;;
STF;03.02.2007 00:00;0;;
STF;04.02.2007 00:00;0;;
STF;05.02.2007 00:00;6.3;;
STF;06.02.2007 00:00;10.2;;0
STF;07.02.2007 00:00;0.7;;
STF;08.02.2007 00:00;6.5;;
STF;09.02.2007 00:00;0;;
STF;10.02.2007 00:00;1.5;;
STF;11.02.2007 00:00;4;;
STF;12.02.2007 00:00;8.5;;
STF;13.02.2007 00:00;3.8;;
STF;14.02.2007 00:00;3.6;;
STF;15.02.2007 00:00;0;;
STF;16.02.2007 00:00;0;;
STF;17.02.2007 00:00;0;;
STF;18.02.2007 00:00;0;;
STF;19.02.2007 00:00;0;;
STF;20.02.2007 00:00;0;;
STF;21.02.2007 00:00;0;;
STF;22.02.2007 00:00;0;;
STF;23.02.2007 00:00;0;;
STF;24.02.2007 00:00;4.1;;
STF;25.02.2007 00:00;5.3;;
STF;26.02.2007 00:00;4.7;;
STF;27.02.2007 00:00;1.6;;
STF;28.02.2007 00:00;2.4;;
STF;01.03.2007 00:00;24.5;;
STF;02.03.2007 00:00;10.8;;
STF;03.03.2007 00:00;1.7;;
STF;04.03.2007 00:00;0;;
STF;05.03.2007 00:00;1.3;;
STF;06.03.2007 00:00;2;;
STF;07.03.2007 00:00;0.9;;
STF;08.03.2007 00:00;1.2;;
STF;09.03.2007 00:00;5.4;;
STF;10.03.2007 00:00;0;;
STF;11.03.2007 00:00;0;;
STF;12.03.2007 00:00;0;;
STF;13.03.2007 00:00;0;;
STF;14.03.2007 00:00;0;;
STF;15.03.2007 00:00;0;;
STF;16.03.2007 00:00;0;;
STF;17.03.2007 00:00;0;;
STF;18.03.2007 00:00;15.5;;3
STF;19.03.2007 00:00;8.7;;10
STF;20.03.2007 00:00;3;;11
STF;21.03.2007 00:00;10.8;;17
STF;22.03.2007 00:00;10.1;;18
STF;23.03.2007 00:00;0.3;;16
STF;24.03.2007 00:00;0;;11
STF;25.03.2007 00:00;0;;9
STF;26.03.2007 00:00;0;;6
STF;27.03.2007 00:00;0;;4
STF;28.03.2007 00:00;0;;1
STF;29.03.2007 00:00;0;;0
STF;30.03.2007 00:00;11;;3
STF;31.03.2007 00:00;0;;0
STF;01.04.2007 00:00;0;;
STF;02.04.2007 00:00;0;;
STF;03.04.2007 00:00;7.3;;0
STF;04.04.2007 00:00;0;;
STF;05.04.2007 00:00;0;;
STF;06.04.2007 00:00;0;;
STF;07.04.2007 00:00;0;;
STF;08.04.2007 00:00;0;;
STF;09.04.2007 00:00;0;;
STF;10.04.2007 00:00;0;;
STF;11.04.2007 00:00;0;;
STF;12.04.2007 00:00;0;;
STF;13.04.2007 00:00;0;;
STF;14.04.2007 00:00;0;;
STF;15.04.2007 00:00;0;;
STF;16.04.2007 00:00;0;;
STF;17.04.2007 00:00;0;;
STF;18.04.2007 00:00;0;;
STF;19.04.2007 00:00;0;;
STF;20.04.2007 00:00;0;;
STF;21.04.2007 00:00;0;;
STF;22.04.2007 00:00;0;;
STF;23.04.2007 00:00;0;;
STF;24.04.2007 00:00;0;;
STF;25.04.2007 00:00;0;;
STF;26.04.2007 00:00;0;;
STF;27.04.2007 00:00;1.5;;
STF;28.04.2007 00:00;3.7;;
STF;29.04.2007 00:00;7;;
STF;30.04.2007 00:00;0;;
STF;01.05.2007 00:00;0;;
STF;02.05.2007 00:00;0;;
STF;03.05.2007 00:00;0;;
STF;04.05.2007 00:00;15.6;;
STF;05.05.2007 00:00;32.7;;
STF;06.05.2007 00:00;2.2;;
STF;07.05.2007 00:00;0.3;;
STF;08.05.2007 00:00;4.9;;
STF;09.05.2007 00:00;0;;
STF;10.05.2007 00:00;0;;
STF;11.05.2007 00:00;3.2;;
STF;12.05.2007 00:00;0;;
STF;13.05.2007 00:00;0;;
STF;14.05.2007 00:00;17.4;;
STF;15.05.2007 00:00;6.9;;
STF;16.05.2007 00:00;12.5;;
STF;17.05.2007 00:00;12.3;;
STF;18.05.2007 00:00;0;;
STF;19.05.2007 00:00;0;;
STF;20.05.2007 00:00;6.4;;
STF;21.05.2007 00:00;3.5;;
STF;22.05.2007 00:00;0;;
STF;23.05.2007 00:00;1.1;;
STF;24.05.2007 00:00;0;;
STF;25.05.2007 00:00;0;;
STF;26.05.2007 00:00;0;;
STF;27.05.2007 00:00;48.6;;
STF;28.05.2007 00:00;7.8;;
STF;29.05.2007 00:00;0.5;;
STF;30.05.2007 00:00;0;;
STF;31.05.2007 00:00;6.8;;
STF;01.06.2007 00:00;12.9;;
STF;02.06.2007 00:00;5.2;;
STF;03.06.2007 00:00;0;;
STF;04.06.2007 00:00;13.7;;
STF;05.06.2007 00:00;0.9;;
STF;06.06.2007 00:00;0;;
STF;07.06.2007 00:00;9;;
STF;08.06.2007 00:00;7.2;;
STF;09.06.2007 00:00;0;;
STF;10.06.2007 00:00;9.1;;
STF;11.06.2007 00:00;16.7;;
STF;12.06.2007 00:00;0.6;;
STF;13.06.2007 00:00;0;;
STF;14.06.2007 00:00;20.8;;
STF;15.06.2007 00:00;9;;
STF;16.06.2007 00:00;0;;
STF;17.06.2007 00:00;16.2;;
STF;18.06.2007 00:00;13.4;;
STF;19.06.2007 00:00;0;;
STF;20.06.2007 00:00;6.8;;
STF;21.06.2007 00:00;20.3;;
STF;22.06.2007 00:00;4.6;;
STF;23.06.2007 00:00;0;;
STF;24.06.2007 00:00;0;;
STF;25.06.2007 00:00;8;;
STF;26.06.2007 00:00;4.4;;
STF;27.06.2007 00:00;5.6;;
STF;28.06.2007 00:00;0;;
STF;29.06.2007 00:00;0;;
STF;30.06.2007 00:00;0;;
STF;01.07.2007 00:00;8.6;;
STF;02.07.2007 00:00;7.1;;
STF;03.07.2007 00:00;14.8;;
STF;04.07.2007 00:00;7.3;;
STF;05.07.2007 00:00;0.4;;
STF;06.07.2007 00:00;0;;
STF;07.07.2007 00:00;0;;
STF;08.07.2007 00:00;4.2;;
STF;09.07.2007 00:00;10.7;;
STF;10.07.2007 00:00;9.6;;
STF;11.07.2007 00:00;4.9;;
STF;12.07.2007 00:00;0;;
STF;13.07.2007 00:00;0;;
STF;14.07.2007 00:00;0;;
STF;15.07.2007 00:00;0;;
STF;16.07.2007 00:00;0;;
STF;17.07.2007 00:00;0;;
STF;18.07.2007 00:00;0;;
STF;19.07.2007 00:00;11.4;;
STF;20.07.2007 00:00;27.3;;
STF;21.07.2007 00:00;31.7;;
STF;22.07.2007 00:00;0;;
STF;23.07.2007 00:00;30.5;;
STF;24.07.2007 00:00;10.3;;
STF;25.07.2007 00:00;0;;
STF;26.07.2007 00:00;0.4;;
STF;27.07.2007 00:00;0;;
STF;28.07.2007 00:00;0;;
STF;29.07.2007 00:00;27.9;;
STF;30.07.2007 00:00;0;;
STF;31.07.2007 00:00;0;;
STF;01.08.2007 00:00;0;;
STF;02.08.2007 00:00;9.6;;
STF;03.08.2007 00:00;0;;
STF;04.08.2007 00:00;0;;
STF;05.08.2007 00:00;0;;
STF;06.08.2007 00:00;3.7;;
STF;07.08.2007 00:00;24.2;;
STF;08.08.2007 00:00;62.8;;
STF;09.08.2007 00:00;4.9;;
STF;10.08.2007 00:00;1.8;;
STF;11.08.2007 00:00;0.7;;
STF;12.08.2007 00:00;3;;
STF;13.08.2007 00:00;6.8;;
STF;14.08.2007 00:00;0;;
STF;15.08.2007 00:00;1;;
STF;16.08.2007 00:00;0;;
STF;17.08.2007 00:00;0;;
STF;18.08.2007 00:00;0;;
STF;19.08.2007 00:00;0.3;;
STF;20.08.2007 00:00;5.8;;
STF;21.08.2007 00:00;3.3;;
STF;22.08.2007 00:00;1.5;;
STF;23.08.2007 00:00;0;;
STF;24.08.2007 00:00;0;;
STF;25.08.2007 00:00;0;;
STF;26.08.2007 00:00;0;;
STF;27.08.2007 00:00;0.4;;
STF;28.08.2007 00:00;36.6;;
STF;29.08.2007 00:00;66;;
STF;30.08.2007 00:00;11.6;;
STF;31.08.2007 00:00;0;;
STF;01.09.2007 00:00;0;;
STF;02.09.2007 00:00;0;;
STF;03.09.2007 00:00;8.7;;
STF;04.09.2007 00:00;0;;
STF;05.09.2007 00:00;0;;
STF;06.09.2007 00:00;0;;
STF;07.09.2007 00:00;0;;
STF;08.09.2007 00:00;0;;
STF;09.09.2007 00:00;0;;
STF;10.09.2007 00:00;0.6;;
STF;11.09.2007 00:00;0;;
STF;12.09.2007 00:00;0;;
STF;13.09.2007 00:00;0;;
STF;14.09.2007 00:00;0;;
STF;15.09.2007 00:00;0;;
STF;16.09.2007 00:00;0;;
STF;17.09.2007 00:00;20.2;;
STF;18.09.2007 00:00;5.6;;
STF;19.09.2007 00:00;0;;
STF;20.09.2007 00:00;0;;
STF;21.09.2007 00:00;0;;
STF;22.09.2007 00:00;0;;
STF;23.09.2007 00:00;0;;
STF;24.09.2007 00:00;3.9;;
STF;25.09.2007 00:00;4.3;;
STF;26.09.2007 00:00;16.9;;
STF;27.09.2007 00:00;0;;
STF;28.09.2007 00:00;0;;
STF;29.09.2007 00:00;5.7;;
STF;30.09.2007 00:00;0;;
STF;01.10.2007 00:00;0;;
STF;02.10.2007 00:00;0;;
STF;03.10.2007 00:00;10;;
STF;04.10.2007 00:00;0.6;;
STF;05.10.2007 00:00;0;;
STF;06.10.2007 00:00;0;;
STF;07.10.2007 00:00;0;;
STF;08.10.2007 00:00;0;;
STF;09.10.2007 00:00;0;;
STF;10.10.2007 00:00;0;;
STF;11.10.2007 00:00;0;;
STF;12.10.2007 00:00;0;;
STF;13.10.2007 00:00;0;;
STF;14.10.2007 00:00;0;;
STF;15.10.2007 00:00;0;;
STF;16.10.2007 00:00;0;;
STF;17.10.2007 00:00;7.4;;
STF;18.10.2007 00:00;0;;
STF;19.10.2007 00:00;0;;
STF;20.10.2007 00:00;0;;
STF;21.10.2007 00:00;0.5;;0
STF;22.10.2007 00:00;0;;
STF;23.10.2007 00:00;0;;
STF;24.10.2007 00:00;0;;
STF;25.10.2007 00:00;0;;
STF;26.10.2007 00:00;0;;
STF;27.10.2007 00:00;0;;
STF;28.10.2007 00:00;0;;
STF;29.10.2007 00:00;0.3;;
STF;30.10.2007 00:00;4.8;;
STF;31.10.2007 00:00;0;;
STF;01.11.2007 00:00;0;;
STF;02.11.2007 00:00;0;;
STF;03.11.2007 00:00;0;;
STF;04.11.2007 00:00;0;;
STF;05.11.2007 00:00;0.1;;
STF;06.11.2007 00:00;0.3;;
STF;07.11.2007 00:00;0;;
STF;08.11.2007 00:00;0;;
STF;09.11.2007 00:00;1.8;;0
STF;10.11.2007 00:00;5.3;;0
STF;11.11.2007 00:00;13.5;;
STF;12.11.2007 00:00;0;;
STF;13.11.2007 00:00;5.2;;3
STF;14.11.2007 00:00;10.3;;7
STF;15.11.2007 00:00;0.9;;7
STF;16.11.2007 00:00;0;;4
STF;17.11.2007 00:00;0;;4
STF;18.11.2007 00:00;0;;3
STF;19.11.2007 00:00;0;;2
STF;20.11.2007 00:00;0;;0
STF;21.11.2007 00:00;0.3;;
STF;22.11.2007 00:00;0.9;;
STF;23.11.2007 00:00;10.2;;
STF;24.11.2007 00:00;0;;
STF;25.11.2007 00:00;0;;
STF;26.11.2007 00:00;0;;
STF;27.11.2007 00:00;0;;
STF;28.11.2007 00:00;0;;
STF;29.11.2007 00:00;0;;
STF;30.11.2007 00:00;0;;
STF;01.12.2007 00:00;0.8;;
STF;02.12.2007 00:00;9.4;;
STF;03.12.2007 00:00;11;;
STF;04.12.2007 00:00;0;;
STF;05.12.2007 00:00;2;;
STF;06.12.2007 00:00;6.2;;
STF;07.12.2007 00:00;10.9;;
STF;08.12.2007 00:00;4.7;;
STF;09.12.2007 00:00;5.4;;
STF;10.12.2007 00:00;10.9;;
STF;11.12.2007 00:00;10.3;;2
STF;12.12.2007 00:00;0;;0
STF;13.12.2007 00:00;0;;
STF;14.12.2007 00:00;0;;
STF;15.12.2007 00:00;0;;
STF;16.12.2007 00:00;0;;
STF;17.12.2007 00:00;0;;
STF;18.12.2007 00:00;0;;
STF;19.12.2007 00:00;0;;
STF;20.12.2007 00:00;0;;
STF;21.12.2007 00:00;0;;
STF;22.12.2007 00:00;0;;
STF;23.12.2007 00:00;0;;
STF;24.12.2007 00:00;0;;
STF;25.12.2007 00:00;0;;
STF;26.12.2007 00:00;0;;
STF;27.12.2007 00:00;0;;
STF;28.12.2007 00:00;0;;
STF;29.12.2007 00:00;4.3;;
STF;30.12.2007 00:00;0;;
STF;31.12.2007 00:00;0;;
STF;01.01.2008 00:00;0;;
STF;02.01.2008 00:00;0;;
STF;03.01.2008 00:00;0;;
STF;04.01.2008 00:00;0;;
STF;05.01.2008 00:00;21.5;;
STF;06.01.2008 00:00;4.6;;
STF;07.01.2008 00:00;0.3;;
STF;08.01.2008 00:00;0;;
STF;09.01.2008 00:00;3.5;;
STF;10.01.2008 00:00;0;;
STF;11.01.2008 00:00;4;;
STF;12.01.2008 00:00;3.2;;0
STF;13.01.2008 00:00;0;;
STF;14.01.2008 00:00;0;;
STF;15.01.2008 00:00;6.8;;
STF;16.01.2008 00:00;3;;
STF;17.01.2008 00:00;1.9;;
STF;18.01.2008 00:00;0;;
STF;19.01.2008 00:00;0;;
STF;20.01.2008 00:00;0;;
STF;21.01.2008 00:00;4.4;;
STF;22.01.2008 00:00;3.9;;0
STF;23.01.2008 00:00;0;;
STF;24.01.2008 00:00;0.7;;
STF;25.01.2008 00:00;0;;
STF;26.01.2008 00:00;0;;
STF;27.01.2008 00:00;0;;
STF;28.01.2008 00:00;0;;
STF;29.01.2008 00:00;0;;
STF;30.01.2008 00:00;0;;
STF;31.01.2008 00:00;0;;
STF;01.02.2008 00:00;15.3;;
STF;02.02.2008 00:00;0;;
STF;03.02.2008 00:00;0;;
STF;04.02.2008 00:00;0;;
STF;05.02.2008 00:00;1.6;;
STF;06.02.2008 00:00;3.5;;
STF;07.02.2008 00:00;0;;
STF;08.02.2008 00:00;0;;
STF;09.02.2008 00:00;0;;
STF;10.02.2008 00:00;0;;
STF;11.02.2008 00:00;0;;
STF;12.02.2008 00:00;0;;
STF;13.02.2008 00:00;0;;
STF;14.02.2008 00:00;0;;
STF;15.02.2008 00:00;0;;
STF;16.02.2008 00:00;0;;
STF;17.02.2008 00:00;0;;
STF;18.02.2008 00:00;0;;
STF;19.02.2008 00:00;0;;
STF;20.02.2008 00:00;4.8;;
STF;21.02.2008 00:00;10.4;;
STF;22.02.2008 00:00;0;;
STF;23.02.2008 00:00;0;;
STF;24.02.2008 00:00;0;;
STF;25.02.2008 00:00;0;;
STF;26.02.2008 00:00;4.3;;
STF;27.02.2008 00:00;0.1;;
STF;28.02.2008 00:00;2;;
STF;29.02.2008 00:00;2.5;;
STF;01.03.2008 00:00;0.5;;
STF;02.03.2008 00:00;0;;
STF;03.03.2008 00:00;5.7;;
STF;04.03.2008 00:00;6.4;;6
STF;05.03.2008 00:00;0;;2
STF;06.03.2008 00:00;0;;0
STF;07.03.2008 00:00;1.7;;1
STF;08.03.2008 00:00;0;;0
STF;09.03.2008 00:00;0;;
STF;10.03.2008 00:00;1.6;;
STF;11.03.2008 00:00;3.6;;
STF;12.03.2008 00:00;9;;
STF;13.03.2008 00:00;1.8;;
STF;14.03.2008 00:00;0;;
STF;15.03.2008 00:00;0;;
STF;16.03.2008 00:00;4.7;;
STF;17.03.2008 00:00;6.7;;
STF;18.03.2008 00:00;0;;
STF;19.03.2008 00:00;0;;
STF;20.03.2008 00:00;3.3;;11
STF;21.03.2008 00:00;7.8;;8
STF;22.03.2008 00:00;0;;3
STF;23.03.2008 00:00;0;;3
STF;24.03.2008 00:00;11.4;;18
STF;25.03.2008 00:00;9;;22
STF;26.03.2008 00:00;0;;
STF;27.03.2008 00:00;0;;
STF;28.03.2008 00:00;0;;
STF;29.03.2008 00:00;0;;
STF;30.03.2008 00:00;0;;
STF;31.03.2008 00:00;0;;
STF;01.04.2008 00:00;0;;
STF;02.04.2008 00:00;0.6;;
STF;03.04.2008 00:00;2.4;;
STF;04.04.2008 00:00;0.7;;
STF;05.04.2008 00:00;6.5;;6
STF;06.04.2008 00:00;10.9;;14
STF;07.04.2008 00:00;0;;8
STF;08.04.2008 00:00;0;;2
STF;09.04.2008 00:00;0.8;;0
STF;10.04.2008 00:00;5.1;;
STF;11.04.2008 00:00;4.5;;
STF;12.04.2008 00:00;0.4;;
STF;13.04.2008 00:00;0.3;;
STF;14.04.2008 00:00;2.9;;
STF;15.04.2008 00:00;5.9;;
STF;16.04.2008 00:00;3.4;;0
STF;17.04.2008 00:00;0;;
STF;18.04.2008 00:00;1;;
STF;19.04.2008 00:00;0;;
STF;20.04.2008 00:00;0;;
STF;21.04.2008 00:00;17.8;;
STF;22.04.2008 00:00;21;;
STF;23.04.2008 00:00;6;;
STF;24.04.2008 00:00;0;;
STF;25.04.2008 00:00;0;;
STF;26.04.2008 00:00;0;;
STF;27.04.2008 00:00;0;;
STF;28.04.2008 00:00;12.7;;
STF;29.04.2008 00:00;0;;
STF;30.04.2008 00:00;5.4;;
STF;01.05.2008 00:00;0.3;;
STF;02.05.2008 00:00;0;;
STF;03.05.2008 00:00;0;;
STF;04.05.2008 00:00;0;;
STF;05.05.2008 00:00;0;;
STF;06.05.2008 00:00;0;;
STF;07.05.2008 00:00;0;;
STF;08.05.2008 00:00;0;;
STF;09.05.2008 00:00;0;;
STF;10.05.2008 00:00;0;;
STF;11.05.2008 00:00;2.3;;
STF;12.05.2008 00:00;0;;
STF;13.05.2008 00:00;0;;
STF;14.05.2008 00:00;0;;
STF;15.05.2008 00:00;5.1;;
STF;16.05.2008 00:00;8.2;;
STF;17.05.2008 00:00;4.1;;
STF;18.05.2008 00:00;0.3;;
STF;19.05.2008 00:00;0;;
STF;20.05.2008 00:00;0;;
STF;21.05.2008 00:00;0;;
STF;22.05.2008 00:00;0;;
STF;23.05.2008 00:00;1.3;;
STF;24.05.2008 00:00;0.9;;
STF;25.05.2008 00:00;0;;
STF;26.05.2008 00:00;1.4;;
STF;27.05.2008 00:00;0;;
STF;28.05.2008 00:00;0;;
STF;29.05.2008 00:00;1.1;;
STF;30.05.2008 00:00;3.1;;
STF;31.05.2008 00:00;2.7;;
STF;01.06.2008 00:00;0;;
STF;02.06.2008 00:00;4;;
STF;03.06.2008 00:00;10.2;;
STF;04.06.2008 00:00;8.3;;
STF;05.06.2008 00:00;2;;
STF;06.06.2008 00:00;1.7;;
STF;07.06.2008 00:00;0.8;;
STF;08.06.2008 00:00;0.5;;
STF;09.06.2008 00:00;0;;
STF;10.06.2008 00:00;8.9;;
STF;11.06.2008 00:00;6.3;;
STF;12.06.2008 00:00;2.2;;
STF;13.06.2008 00:00;0;;
STF;14.06.2008 00:00;0;;
STF;15.06.2008 00:00;1.7;;
STF;16.06.2008 00:00;9.6;;
STF;17.06.2008 00:00;8;;
STF;18.06.2008 00:00;0;;
STF;19.06.2008 00:00;0;;
STF;20.06.2008 00:00;0;;
STF;21.06.2008 00:00;0;;
STF;22.06.2008 00:00;0;;
STF;23.06.2008 00:00;0;;
STF;24.06.2008 00:00;0;;
STF;25.06.2008 00:00;0;;
STF;26.06.2008 00:00;0;;
STF;27.06.2008 00:00;0;;
STF;28.06.2008 00:00;0;;
STF;29.06.2008 00:00;18.5;;
STF;30.06.2008 00:00;0;;
STF;01.07.2008 00:00;0;;
STF;02.07.2008 00:00;0.6;;
STF;03.07.2008 00:00;0.2;;
STF;04.07.2008 00:00;0;;
STF;05.07.2008 00:00;0;;
STF;06.07.2008 00:00;3.5;;
STF;07.07.2008 00:00;0;;
STF;08.07.2008 00:00;0;;
STF;09.07.2008 00:00;0;;
STF;10.07.2008 00:00;0;;
STF;11.07.2008 00:00;17.6;;
STF;12.07.2008 00:00;22.5;;
STF;13.07.2008 00:00;24;;
STF;14.07.2008 00:00;2.8;;
STF;15.07.2008 00:00;0;;
STF;16.07.2008 00:00;3;;
STF;17.07.2008 00:00;32;;
STF;18.07.2008 00:00;0;;
STF;19.07.2008 00:00;3.6;;
STF;20.07.2008 00:00;0.4;;
STF;21.07.2008 00:00;0;;
STF;22.07.2008 00:00;0;;
STF;23.07.2008 00:00;0;;
STF;24.07.2008 00:00;0;;
STF;25.07.2008 00:00;0;;
STF;26.07.2008 00:00;1;;
STF;27.07.2008 00:00;0;;
STF;28.07.2008 00:00;0.1;;
STF;29.07.2008 00:00;0.2;;
STF;30.07.2008 00:00;2.7;;
STF;31.07.2008 00:00;3.5;;
STF;01.08.2008 00:00;3.8;;
STF;02.08.2008 00:00;0;;
STF;03.08.2008 00:00;0;;
STF;04.08.2008 00:00;0.3;;
STF;05.08.2008 00:00;0;;
STF;06.08.2008 00:00;0;;
STF;07.08.2008 00:00;5.6;;
STF;08.08.2008 00:00;1.7;;
STF;09.08.2008 00:00;0;;
STF;10.08.2008 00:00;0;;
STF;11.08.2008 00:00;8;;
STF;12.08.2008 00:00;37.2;;
STF;13.08.2008 00:00;0;;
STF;14.08.2008 00:00;17.1;;
STF;15.08.2008 00:00;10.4;;
STF;16.08.2008 00:00;0;;
STF;17.08.2008 00:00;1;;
STF;18.08.2008 00:00;0;;
STF;19.08.2008 00:00;10.7;;
STF;20.08.2008 00:00;0;;
STF;21.08.2008 00:00;0;;
STF;22.08.2008 00:00;2;;
STF;23.08.2008 00:00;9.3;;
STF;24.08.2008 00:00;0;;
STF;25.08.2008 00:00;0;;
STF;26.08.2008 00:00;0;;
STF;27.08.2008 00:00;0;;
STF;28.08.2008 00:00;0;;
STF;29.08.2008 00:00;0;;
STF;30.08.2008 00:00;0;;
STF;31.08.2008 00:00;9.8;;
STF;01.09.2008 00:00;1.9;;
STF;02.09.2008 00:00;0;;
STF;03.09.2008 00:00;1;;
STF;04.09.2008 00:00;6.3;;
STF;05.09.2008 00:00;0;;
STF;06.09.2008 00:00;25.2;;
STF;07.09.2008 00:00;1.8;;
STF;08.09.2008 00:00;0;;
STF;09.09.2008 00:00;0;;
STF;10.09.2008 00:00;0.2;;
STF;11.09.2008 00:00;1.3;;
STF;12.09.2008 00:00;13.9;;
STF;13.09.2008 00:00;45.6;;
STF;14.09.2008 00:00;1.4;;
STF;15.09.2008 00:00;0;;
STF;16.09.2008 00:00;0;;
STF;17.09.2008 00:00;0;;
STF;18.09.2008 00:00;1.9;;
STF;19.09.2008 00:00;0;;
STF;20.09.2008 00:00;0;;
STF;21.09.2008 00:00;0;;
STF;22.09.2008 00:00;0;;
STF;23.09.2008 00:00;0;;
STF;24.09.2008 00:00;0;;
STF;25.09.2008 00:00;0;;
STF;26.09.2008 00:00;0;;
STF;27.09.2008 00:00;0;;
STF;28.09.2008 00:00;0;;
STF;29.09.2008 00:00;0;;
STF;30.09.2008 00:00;0.4;;
STF;01.10.2008 00:00;0;;
STF;02.10.2008 00:00;1;;
STF;03.10.2008 00:00;5.1;;
STF;04.10.2008 00:00;1.3;;
STF;05.10.2008 00:00;0;;
STF;06.10.2008 00:00;2.9;;
STF;07.10.2008 00:00;0;;
STF;08.10.2008 00:00;0.7;;
STF;09.10.2008 00:00;7.6;;
STF;10.10.2008 00:00;0.1;;
STF;11.10.2008 00:00;0;;
STF;12.10.2008 00:00;0;;
STF;13.10.2008 00:00;0;;
STF;14.10.2008 00:00;0;;
STF;15.10.2008 00:00;6.4;;
STF;16.10.2008 00:00;43.5;;
STF;17.10.2008 00:00;0;;
STF;18.10.2008 00:00;0;;
STF;19.10.2008 00:00;0;;
STF;20.10.2008 00:00;0;;
STF;21.10.2008 00:00;1.9;;
STF;22.10.2008 00:00;3;;
STF;23.10.2008 00:00;0;;
STF;24.10.2008 00:00;0;;
STF;25.10.2008 00:00;0;;
STF;26.10.2008 00:00;0;;
STF;27.10.2008 00:00;9.7;;
STF;28.10.2008 00:00;31.8;;5
STF;29.10.2008 00:00;27.8;;26
STF;30.10.2008 00:00;0;;26
STF;31.10.2008 00:00;0;;20
STF;01.11.2008 00:00;0;;10
STF;02.11.2008 00:00;0;;
STF;03.11.2008 00:00;0;;
STF;04.11.2008 00:00;0;;
STF;05.11.2008 00:00;0;;
STF;06.11.2008 00:00;0;;
STF;07.11.2008 00:00;0;;
STF;08.11.2008 00:00;0;;
STF;09.11.2008 00:00;0;;0
STF;10.11.2008 00:00;0;;
STF;11.11.2008 00:00;6.5;;
STF;12.11.2008 00:00;0;;
STF;13.11.2008 00:00;0;;
STF;14.11.2008 00:00;0;;
STF;15.11.2008 00:00;0;;
