station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
FRC;17.07.1987 00:00;14;;
FRC;18.07.1987 00:00;13.4;;
FRC;19.07.1987 00:00;0;;
FRC;20.07.1987 00:00;1.2;;
FRC;21.07.1987 00:00;0.2;;
FRC;22.07.1987 00:00;0;;
FRC;23.07.1987 00:00;9;;
FRC;24.07.1987 00:00;0;;
FRC;25.07.1987 00:00;3;;
FRC;26.07.1987 00:00;0;;
FRC;27.07.1987 00:00;18.8;;
FRC;28.07.1987 00:00;0;;
FRC;29.07.1987 00:00;5;;
FRC;30.07.1987 00:00;19.8;;
FRC;31.07.1987 00:00;0.4;;
FRC;01.08.1987 00:00;0;;
FRC;02.08.1987 00:00;0;;
FRC;03.08.1987 00:00;0;;
FRC;04.08.1987 00:00;0;;
FRC;05.08.1987 00:00;0;;
FRC;06.08.1987 00:00;0;;
FRC;07.08.1987 00:00;0.3;;
FRC;08.08.1987 00:00;4.2;;
FRC;09.08.1987 00:00;3.5;;
FRC;10.08.1987 00:00;0;;
FRC;11.08.1987 00:00;0;;
FRC;12.08.1987 00:00;0;;
FRC;13.08.1987 00:00;0;;
FRC;14.08.1987 00:00;0;;
FRC;15.08.1987 00:00;0;;
FRC;16.08.1987 00:00;0;;
FRC;17.08.1987 00:00;39.4;;
FRC;18.08.1987 00:00;0;;
FRC;19.08.1987 00:00;0;;
FRC;20.08.1987 00:00;0;;
FRC;21.08.1987 00:00;0;;
FRC;22.08.1987 00:00;0;;
FRC;23.08.1987 00:00;61;;
FRC;24.08.1987 00:00;21.4;;
FRC;25.08.1987 00:00;0.8;;
FRC;26.08.1987 00:00;5;;
FRC;27.08.1987 00:00;11.9;;
FRC;28.08.1987 00:00;0;;
FRC;29.08.1987 00:00;0;;
FRC;30.08.1987 00:00;0.8;;
FRC;31.08.1987 00:00;0;;
FRC;01.09.1987 00:00;0;;
FRC;02.09.1987 00:00;0;;
FRC;03.09.1987 00:00;0;;
FRC;04.09.1987 00:00;0.2;;
FRC;05.09.1987 00:00;20.4;;
FRC;06.09.1987 00:00;0;;
FRC;07.09.1987 00:00;0;;
FRC;08.09.1987 00:00;0;;
FRC;09.09.1987 00:00;0;;
FRC;10.09.1987 00:00;0;;
FRC;11.09.1987 00:00;0;;
FRC;12.09.1987 00:00;0;;
FRC;13.09.1987 00:00;0;;
FRC;14.09.1987 00:00;0;;
FRC;15.09.1987 00:00;0;;
FRC;16.09.1987 00:00;0;;
FRC;17.09.1987 00:00;0;;
FRC;18.09.1987 00:00;0;;
FRC;19.09.1987 00:00;0;;
FRC;20.09.1987 00:00;0;;
FRC;21.09.1987 00:00;0;;
FRC;22.09.1987 00:00;0;;
FRC;23.09.1987 00:00;41.3;;
FRC;24.09.1987 00:00;0;;
FRC;25.09.1987 00:00;15.3;;
FRC;26.09.1987 00:00;51.6;;
FRC;27.09.1987 00:00;0;;
FRC;28.09.1987 00:00;0;;
FRC;29.09.1987 00:00;0;;
FRC;30.09.1987 00:00;0;;
FRC;01.10.1987 00:00;0;;
FRC;02.10.1987 00:00;0;;
FRC;03.10.1987 00:00;0.3;;
FRC;04.10.1987 00:00;0.1;;
FRC;05.10.1987 00:00;0;;
FRC;06.10.1987 00:00;5.2;;
FRC;07.10.1987 00:00;0.7;;
FRC;08.10.1987 00:00;12.5;;
FRC;09.10.1987 00:00;0;;
FRC;10.10.1987 00:00;0;;
FRC;11.10.1987 00:00;36;;
FRC;12.10.1987 00:00;7;;
FRC;13.10.1987 00:00;10;;
FRC;14.10.1987 00:00;2.3;;
FRC;15.10.1987 00:00;0.4;;
FRC;16.10.1987 00:00;0.7;;
FRC;17.10.1987 00:00;0;;
FRC;18.10.1987 00:00;0;;
FRC;19.10.1987 00:00;0;;
FRC;20.10.1987 00:00;0.3;;
FRC;21.10.1987 00:00;8.2;;
FRC;22.10.1987 00:00;2;;
FRC;23.10.1987 00:00;5.1;;
FRC;24.10.1987 00:00;2.1;;
FRC;25.10.1987 00:00;2.5;;
FRC;26.10.1987 00:00;0;;
FRC;27.10.1987 00:00;0;;
FRC;28.10.1987 00:00;0.9;;
FRC;29.10.1987 00:00;0;;
FRC;30.10.1987 00:00;0;;
FRC;31.10.1987 00:00;0;;
FRC;01.11.1987 00:00;0;;
FRC;02.11.1987 00:00;0;;
FRC;03.11.1987 00:00;0;;
FRC;04.11.1987 00:00;0;;
FRC;05.11.1987 00:00;0;;
FRC;06.11.1987 00:00;0;;
FRC;07.11.1987 00:00;0;;
FRC;08.11.1987 00:00;1.9;;
FRC;09.11.1987 00:00;4.7;;
FRC;10.11.1987 00:00;6.2;;
FRC;11.11.1987 00:00;0;;
FRC;12.11.1987 00:00;40.6;;
FRC;13.11.1987 00:00;9.9;;
FRC;14.11.1987 00:00;0;;
FRC;15.11.1987 00:00;4.8;;
FRC;16.11.1987 00:00;11.3;;
FRC;17.11.1987 00:00;0;;
FRC;18.11.1987 00:00;0;;
FRC;19.11.1987 00:00;7.7;;
FRC;20.11.1987 00:00;11.7;;
FRC;21.11.1987 00:00;7.7;;
FRC;22.11.1987 00:00;4.3;;
FRC;23.11.1987 00:00;0;;
FRC;24.11.1987 00:00;13.3;;
FRC;25.11.1987 00:00;0;;
FRC;26.11.1987 00:00;0;;
FRC;27.11.1987 00:00;0;;
FRC;28.11.1987 00:00;0.9;;
FRC;29.11.1987 00:00;0;;
FRC;30.11.1987 00:00;0;;
FRC;01.12.1987 00:00;0;;
FRC;02.12.1987 00:00;0;;
FRC;03.12.1987 00:00;0;;
FRC;04.12.1987 00:00;1.7;;
FRC;05.12.1987 00:00;7.8;;
FRC;06.12.1987 00:00;0.8;;
FRC;07.12.1987 00:00;0;;
FRC;08.12.1987 00:00;0;;
FRC;09.12.1987 00:00;4.9;;
FRC;10.12.1987 00:00;0;;
FRC;11.12.1987 00:00;0;;
FRC;12.12.1987 00:00;0;;
FRC;13.12.1987 00:00;0;;
FRC;14.12.1987 00:00;0;;
FRC;15.12.1987 00:00;1.1;;
FRC;16.12.1987 00:00;9;;
FRC;17.12.1987 00:00;10.7;;
FRC;18.12.1987 00:00;17.4;;
FRC;19.12.1987 00:00;0.5;;
FRC;20.12.1987 00:00;0;;
FRC;21.12.1987 00:00;0;;
FRC;22.12.1987 00:00;0;;
FRC;23.12.1987 00:00;0;;
FRC;24.12.1987 00:00;0;;
FRC;25.12.1987 00:00;1.5;;
FRC;26.12.1987 00:00;0;;
FRC;27.12.1987 00:00;0;;
FRC;28.12.1987 00:00;0;;
FRC;29.12.1987 00:00;0;;
FRC;30.12.1987 00:00;0;;
FRC;31.12.1987 00:00;3;;
FRC;01.01.1988 00:00;1;;
FRC;02.01.1988 00:00;11.2;;
FRC;03.01.1988 00:00;13.5;;
FRC;04.01.1988 00:00;14.3;;
FRC;05.01.1988 00:00;0;;
FRC;06.01.1988 00:00;15.3;;
FRC;07.01.1988 00:00;6.7;;
FRC;08.01.1988 00:00;0;;
FRC;09.01.1988 00:00;0;;
FRC;10.01.1988 00:00;0.4;;
FRC;11.01.1988 00:00;5.9;;
FRC;12.01.1988 00:00;0;;
FRC;13.01.1988 00:00;0;;
FRC;14.01.1988 00:00;0;;
FRC;15.01.1988 00:00;0;;
FRC;16.01.1988 00:00;0;;
FRC;17.01.1988 00:00;0.3;;
FRC;18.01.1988 00:00;0;;
FRC;19.01.1988 00:00;0;;
FRC;20.01.1988 00:00;1;;
FRC;21.01.1988 00:00;8.7;;
FRC;22.01.1988 00:00;3;;
FRC;23.01.1988 00:00;0;;
FRC;24.01.1988 00:00;12.7;;
FRC;25.01.1988 00:00;22.2;;
FRC;26.01.1988 00:00;0.3;;
FRC;27.01.1988 00:00;0;;
FRC;28.01.1988 00:00;25.9;;
FRC;29.01.1988 00:00;3.9;;
FRC;30.01.1988 00:00;19.5;;
FRC;31.01.1988 00:00;3.5;;
FRC;01.02.1988 00:00;15.8;;
FRC;02.02.1988 00:00;0.2;;
FRC;03.02.1988 00:00;0;;
FRC;04.02.1988 00:00;0;;
FRC;05.02.1988 00:00;15.9;;
FRC;06.02.1988 00:00;29.3;;
FRC;07.02.1988 00:00;9.7;;
FRC;08.02.1988 00:00;18;;
FRC;09.02.1988 00:00;15.8;;
FRC;10.02.1988 00:00;1.6;;
FRC;11.02.1988 00:00;8.5;;
FRC;12.02.1988 00:00;16.8;;
FRC;13.02.1988 00:00;0;;
FRC;14.02.1988 00:00;0;;
FRC;15.02.1988 00:00;0;;
FRC;16.02.1988 00:00;0;;
FRC;17.02.1988 00:00;0;;
FRC;18.02.1988 00:00;0;;
FRC;19.02.1988 00:00;0.4;;
FRC;20.02.1988 00:00;0;;
FRC;21.02.1988 00:00;0;;
FRC;22.02.1988 00:00;0;;
FRC;23.02.1988 00:00;3.2;;
FRC;24.02.1988 00:00;10.7;;
FRC;25.02.1988 00:00;7.9;;
FRC;26.02.1988 00:00;1.7;;
FRC;27.02.1988 00:00;0;;
FRC;28.02.1988 00:00;9.2;;
FRC;29.02.1988 00:00;9.3;;
FRC;01.03.1988 00:00;8.5;;
FRC;02.03.1988 00:00;0.9;;
FRC;03.03.1988 00:00;0;;
FRC;04.03.1988 00:00;10;;
FRC;05.03.1988 00:00;3.9;;
FRC;06.03.1988 00:00;8.8;;
FRC;07.03.1988 00:00;9.5;;
FRC;08.03.1988 00:00;0.9;;
FRC;09.03.1988 00:00;0;;
FRC;10.03.1988 00:00;1.9;;
FRC;11.03.1988 00:00;0.7;;
FRC;12.03.1988 00:00;5.2;;
FRC;13.03.1988 00:00;0;;
FRC;14.03.1988 00:00;0;;
FRC;15.03.1988 00:00;6.3;;
FRC;16.03.1988 00:00;18.9;;
FRC;17.03.1988 00:00;9;;
FRC;18.03.1988 00:00;8.8;;
FRC;19.03.1988 00:00;1.1;;
FRC;20.03.1988 00:00;4.1;;
FRC;21.03.1988 00:00;28.7;;
FRC;22.03.1988 00:00;0.5;;
FRC;23.03.1988 00:00;24.4;;
FRC;24.03.1988 00:00;13;;
FRC;25.03.1988 00:00;13.6;;
FRC;26.03.1988 00:00;14.6;;
FRC;27.03.1988 00:00;6.8;;
FRC;28.03.1988 00:00;0.3;;
FRC;29.03.1988 00:00;0;;
FRC;30.03.1988 00:00;15.2;;
FRC;31.03.1988 00:00;4.1;;
FRC;01.04.1988 00:00;0;;
FRC;02.04.1988 00:00;0;;
FRC;03.04.1988 00:00;0;;
FRC;04.04.1988 00:00;0;;
FRC;05.04.1988 00:00;0;;
FRC;06.04.1988 00:00;0;;
FRC;07.04.1988 00:00;1.4;;
FRC;08.04.1988 00:00;1.5;;
FRC;09.04.1988 00:00;13.4;;
FRC;10.04.1988 00:00;0;;
FRC;11.04.1988 00:00;0;;
FRC;12.04.1988 00:00;16.8;;
FRC;13.04.1988 00:00;6.9;;
FRC;14.04.1988 00:00;0;;
FRC;15.04.1988 00:00;0;;
FRC;16.04.1988 00:00;2.8;;
FRC;17.04.1988 00:00;0;;
FRC;18.04.1988 00:00;0;;
FRC;19.04.1988 00:00;10.3;;
FRC;20.04.1988 00:00;0.9;;
FRC;21.04.1988 00:00;0;;
FRC;22.04.1988 00:00;0;;
FRC;23.04.1988 00:00;0;;
FRC;24.04.1988 00:00;0;;
FRC;25.04.1988 00:00;0;;
FRC;26.04.1988 00:00;1.2;;
FRC;27.04.1988 00:00;7.9;;
FRC;28.04.1988 00:00;1.1;;
FRC;29.04.1988 00:00;0;;
FRC;30.04.1988 00:00;0;;
FRC;01.05.1988 00:00;0;;
FRC;02.05.1988 00:00;5.3;;
FRC;03.05.1988 00:00;5;;
FRC;04.05.1988 00:00;0.4;;
FRC;05.05.1988 00:00;0;;
FRC;06.05.1988 00:00;0;;
FRC;07.05.1988 00:00;0;;
FRC;08.05.1988 00:00;2.7;;
FRC;09.05.1988 00:00;0.3;;
FRC;10.05.1988 00:00;22.6;;
FRC;11.05.1988 00:00;0.5;;
FRC;12.05.1988 00:00;0;;
FRC;13.05.1988 00:00;7.3;;
FRC;14.05.1988 00:00;8.2;;
FRC;15.05.1988 00:00;12.3;;
FRC;16.05.1988 00:00;8.2;;
FRC;17.05.1988 00:00;15;;
FRC;18.05.1988 00:00;17.8;;
FRC;19.05.1988 00:00;9.6;;
FRC;20.05.1988 00:00;9.7;;
FRC;21.05.1988 00:00;0.1;;
FRC;22.05.1988 00:00;0;;
FRC;23.05.1988 00:00;0;;
FRC;24.05.1988 00:00;0;;
FRC;25.05.1988 00:00;3.3;;
FRC;26.05.1988 00:00;35.8;;
FRC;27.05.1988 00:00;18.2;;
FRC;28.05.1988 00:00;2.1;;
FRC;29.05.1988 00:00;9.3;;
FRC;30.05.1988 00:00;17.6;;
FRC;31.05.1988 00:00;3.7;;
FRC;01.06.1988 00:00;0;;
FRC;02.06.1988 00:00;0;;
FRC;03.06.1988 00:00;10.5;;
FRC;04.06.1988 00:00;20.9;;
FRC;05.06.1988 00:00;1.7;;
FRC;06.06.1988 00:00;5;;
FRC;07.06.1988 00:00;0;;
FRC;08.06.1988 00:00;0.9;;
FRC;09.06.1988 00:00;0;;
FRC;10.06.1988 00:00;0;;
FRC;11.06.1988 00:00;5.4;;
FRC;12.06.1988 00:00;0;;
FRC;13.06.1988 00:00;3.7;;
FRC;14.06.1988 00:00;6.8;;
FRC;15.06.1988 00:00;0;;
FRC;16.06.1988 00:00;7.5;;
FRC;17.06.1988 00:00;0;;
FRC;18.06.1988 00:00;0;;
FRC;19.06.1988 00:00;0;;
FRC;20.06.1988 00:00;0;;
FRC;21.06.1988 00:00;0;;
FRC;22.06.1988 00:00;0;;
FRC;23.06.1988 00:00;0;;
FRC;24.06.1988 00:00;0;;
FRC;25.06.1988 00:00;0;;
FRC;26.06.1988 00:00;3.5;;
FRC;27.06.1988 00:00;1.6;;
FRC;28.06.1988 00:00;6.1;;
FRC;29.06.1988 00:00;1.4;;
FRC;30.06.1988 00:00;0.2;;
FRC;01.07.1988 00:00;29.5;;
FRC;02.07.1988 00:00;27.3;;
FRC;03.07.1988 00:00;0.5;;
FRC;04.07.1988 00:00;0.8;;
FRC;05.07.1988 00:00;27.9;;
FRC;06.07.1988 00:00;0;;
FRC;07.07.1988 00:00;12;;
FRC;08.07.1988 00:00;0.3;;
FRC;09.07.1988 00:00;0;;
FRC;10.07.1988 00:00;0;;
FRC;11.07.1988 00:00;3.6;;
FRC;12.07.1988 00:00;0;;
FRC;13.07.1988 00:00;7.1;;
FRC;14.07.1988 00:00;6.8;;
FRC;15.07.1988 00:00;0.8;;
FRC;16.07.1988 00:00;0;;
FRC;17.07.1988 00:00;0;;
FRC;18.07.1988 00:00;0;;
FRC;19.07.1988 00:00;0;;
FRC;20.07.1988 00:00;0;;
FRC;21.07.1988 00:00;0;;
FRC;22.07.1988 00:00;0;;
FRC;23.07.1988 00:00;20.6;;
FRC;24.07.1988 00:00;9.2;;
FRC;25.07.1988 00:00;0;;
FRC;26.07.1988 00:00;2.5;;
FRC;27.07.1988 00:00;18.2;;
FRC;28.07.1988 00:00;0;;
FRC;29.07.1988 00:00;8.8;;
FRC;30.07.1988 00:00;0;;
FRC;31.07.1988 00:00;0;;
FRC;01.08.1988 00:00;0.7;;
FRC;02.08.1988 00:00;9.6;;
FRC;03.08.1988 00:00;9.1;;
FRC;04.08.1988 00:00;0;;
FRC;05.08.1988 00:00;0;;
FRC;06.08.1988 00:00;0;;
FRC;07.08.1988 00:00;0;;
FRC;08.08.1988 00:00;0;;
FRC;09.08.1988 00:00;0;;
FRC;10.08.1988 00:00;0;;
FRC;11.08.1988 00:00;0;;
FRC;12.08.1988 00:00;2.1;;
FRC;13.08.1988 00:00;0;;
FRC;14.08.1988 00:00;0;;
FRC;15.08.1988 00:00;0;;
FRC;16.08.1988 00:00;0.3;;
FRC;17.08.1988 00:00;0;;
FRC;18.08.1988 00:00;0;;
FRC;19.08.1988 00:00;15.9;;
FRC;20.08.1988 00:00;50.1;;
FRC;21.08.1988 00:00;0;;
FRC;22.08.1988 00:00;2;;
FRC;23.08.1988 00:00;0;;
FRC;24.08.1988 00:00;25.7;;
FRC;25.08.1988 00:00;6.2;;
FRC;26.08.1988 00:00;0.1;;
FRC;27.08.1988 00:00;0;;
FRC;28.08.1988 00:00;38.2;;
FRC;29.08.1988 00:00;25;;
FRC;30.08.1988 00:00;0;;
FRC;31.08.1988 00:00;0;;
FRC;01.09.1988 00:00;15.7;;
FRC;02.09.1988 00:00;13.8;;
FRC;03.09.1988 00:00;2.8;;
FRC;04.09.1988 00:00;0;;
FRC;05.09.1988 00:00;0;;
FRC;06.09.1988 00:00;0;;
FRC;07.09.1988 00:00;0;;
FRC;08.09.1988 00:00;0;;
FRC;09.09.1988 00:00;4.4;;
FRC;10.09.1988 00:00;0;;
FRC;11.09.1988 00:00;0;;
FRC;12.09.1988 00:00;0;;
FRC;13.09.1988 00:00;3.9;;
FRC;14.09.1988 00:00;12.4;;
FRC;15.09.1988 00:00;1.5;;
FRC;16.09.1988 00:00;0;;
FRC;17.09.1988 00:00;0;;
FRC;18.09.1988 00:00;0;;
FRC;19.09.1988 00:00;0;;
FRC;20.09.1988 00:00;0;;
FRC;21.09.1988 00:00;0;;
FRC;22.09.1988 00:00;19.3;;
FRC;23.09.1988 00:00;2.8;;
FRC;24.09.1988 00:00;0;;
FRC;25.09.1988 00:00;0.1;;
FRC;26.09.1988 00:00;0;;
FRC;27.09.1988 00:00;0;;
FRC;28.09.1988 00:00;0;;
FRC;29.09.1988 00:00;5.5;;
FRC;30.09.1988 00:00;14.8;;
FRC;01.10.1988 00:00;0;;
FRC;02.10.1988 00:00;0.5;;
FRC;03.10.1988 00:00;18.1;;
FRC;04.10.1988 00:00;3.1;;
FRC;05.10.1988 00:00;20.4;;
FRC;06.10.1988 00:00;19.8;;
FRC;07.10.1988 00:00;19.4;;
FRC;08.10.1988 00:00;0;;
FRC;09.10.1988 00:00;44.7;;
FRC;10.10.1988 00:00;26.5;;
FRC;11.10.1988 00:00;23.9;;
FRC;12.10.1988 00:00;6.8;;
FRC;13.10.1988 00:00;0.6;;
FRC;14.10.1988 00:00;0;;
FRC;15.10.1988 00:00;0;;
FRC;16.10.1988 00:00;0;;
FRC;17.10.1988 00:00;0;;
FRC;18.10.1988 00:00;6.1;;
FRC;19.10.1988 00:00;14.3;;
FRC;20.10.1988 00:00;7.1;;
FRC;21.10.1988 00:00;0;;
FRC;22.10.1988 00:00;0;;
FRC;23.10.1988 00:00;0;;
FRC;24.10.1988 00:00;0;;
FRC;25.10.1988 00:00;0;;
FRC;26.10.1988 00:00;0;;
FRC;27.10.1988 00:00;0;;
FRC;28.10.1988 00:00;0;;
FRC;29.10.1988 00:00;0;;
FRC;30.10.1988 00:00;0;;
FRC;31.10.1988 00:00;0;;
FRC;01.11.1988 00:00;0;;
FRC;02.11.1988 00:00;0;;
FRC;03.11.1988 00:00;0;;
FRC;04.11.1988 00:00;0;;
FRC;05.11.1988 00:00;0;;
FRC;06.11.1988 00:00;0;;
FRC;07.11.1988 00:00;0;;
FRC;08.11.1988 00:00;0;;
FRC;09.11.1988 00:00;5.6;;
FRC;10.11.1988 00:00;0;;
FRC;11.11.1988 00:00;0;;
FRC;12.11.1988 00:00;4;;
FRC;13.11.1988 00:00;5;;
FRC;14.11.1988 00:00;0;;
FRC;15.11.1988 00:00;0;;
FRC;16.11.1988 00:00;0;;
FRC;17.11.1988 00:00;0;;
FRC;18.11.1988 00:00;6.1;;
FRC;19.11.1988 00:00;0;;
FRC;20.11.1988 00:00;17.5;;
FRC;21.11.1988 00:00;6.8;;
FRC;22.11.1988 00:00;0;;
FRC;23.11.1988 00:00;0;;
FRC;24.11.1988 00:00;0;;
FRC;25.11.1988 00:00;0;;
FRC;26.11.1988 00:00;0;;
FRC;27.11.1988 00:00;0;;
FRC;28.11.1988 00:00;0;;
FRC;29.11.1988 00:00;4.3;;
FRC;30.11.1988 00:00;0;;
FRC;01.12.1988 00:00;1.7;;
FRC;02.12.1988 00:00;21.2;;
FRC;03.12.1988 00:00;2;;
FRC;04.12.1988 00:00;44.8;;
FRC;05.12.1988 00:00;29.8;;
FRC;06.12.1988 00:00;15.5;;
FRC;07.12.1988 00:00;3.3;;
FRC;08.12.1988 00:00;0;;
FRC;09.12.1988 00:00;10.9;;
FRC;10.12.1988 00:00;8.4;;
FRC;11.12.1988 00:00;0;;
FRC;12.12.1988 00:00;8.2;;
FRC;13.12.1988 00:00;0;;
FRC;14.12.1988 00:00;0;;
FRC;15.12.1988 00:00;0;;
FRC;16.12.1988 00:00;0;;
FRC;17.12.1988 00:00;0;;
FRC;18.12.1988 00:00;0;;
FRC;19.12.1988 00:00;15.4;;
FRC;20.12.1988 00:00;0.3;;
FRC;21.12.1988 00:00;0;;
FRC;22.12.1988 00:00;0;;
FRC;23.12.1988 00:00;0;;
FRC;24.12.1988 00:00;0;;
FRC;25.12.1988 00:00;0;;
FRC;26.12.1988 00:00;0;;
FRC;27.12.1988 00:00;0;;
FRC;28.12.1988 00:00;0;;
FRC;29.12.1988 00:00;0;;
FRC;30.12.1988 00:00;0;;
FRC;31.12.1988 00:00;0;;
FRC;01.01.1989 00:00;0;;
FRC;02.01.1989 00:00;0;;
FRC;03.01.1989 00:00;0;;
FRC;04.01.1989 00:00;4;;
FRC;05.01.1989 00:00;0.5;;
FRC;06.01.1989 00:00;0;;
FRC;07.01.1989 00:00;0;;
FRC;08.01.1989 00:00;0;;
FRC;09.01.1989 00:00;0;;
FRC;10.01.1989 00:00;0;;
FRC;11.01.1989 00:00;0;;
FRC;12.01.1989 00:00;2.5;;
FRC;13.01.1989 00:00;0;;
FRC;14.01.1989 00:00;0;;
FRC;15.01.1989 00:00;0;;
FRC;16.01.1989 00:00;0;;
FRC;17.01.1989 00:00;0;;
FRC;18.01.1989 00:00;0;;
FRC;19.01.1989 00:00;0;;
FRC;20.01.1989 00:00;0;;
FRC;21.01.1989 00:00;12.3;;
FRC;22.01.1989 00:00;0;;
FRC;23.01.1989 00:00;0;;
FRC;24.01.1989 00:00;0;;
FRC;25.01.1989 00:00;0;;
FRC;26.01.1989 00:00;0;;
FRC;27.01.1989 00:00;0;;
FRC;28.01.1989 00:00;0;;
FRC;29.01.1989 00:00;0;;
FRC;30.01.1989 00:00;0;;
FRC;31.01.1989 00:00;0;;
FRC;01.02.1989 00:00;0;;
FRC;02.02.1989 00:00;0;;
FRC;03.02.1989 00:00;0;;
FRC;04.02.1989 00:00;0;;
FRC;05.02.1989 00:00;0;;
FRC;06.02.1989 00:00;0;;
FRC;07.02.1989 00:00;0;;
FRC;08.02.1989 00:00;0;;
FRC;09.02.1989 00:00;0;;
FRC;10.02.1989 00:00;0;;
FRC;11.02.1989 00:00;0;;
FRC;12.02.1989 00:00;1.5;;
FRC;13.02.1989 00:00;6.8;;
FRC;14.02.1989 00:00;2.4;;
FRC;15.02.1989 00:00;0;;
FRC;16.02.1989 00:00;1.3;;
FRC;17.02.1989 00:00;0;;
FRC;18.02.1989 00:00;1.2;;
FRC;19.02.1989 00:00;0;;
FRC;20.02.1989 00:00;0.3;;
FRC;21.02.1989 00:00;3.3;;
FRC;22.02.1989 00:00;0.3;;
FRC;23.02.1989 00:00;1.5;;
FRC;24.02.1989 00:00;2.7;;
FRC;25.02.1989 00:00;7.9;;
FRC;26.02.1989 00:00;5.3;;
FRC;27.02.1989 00:00;22.1;;
FRC;28.02.1989 00:00;5.2;;
FRC;01.03.1989 00:00;6.8;;
FRC;02.03.1989 00:00;20.2;;
FRC;03.03.1989 00:00;17.2;;
FRC;04.03.1989 00:00;0;;
FRC;05.03.1989 00:00;0;;
FRC;06.03.1989 00:00;0;;
FRC;07.03.1989 00:00;8.9;;
FRC;08.03.1989 00:00;0;;
FRC;09.03.1989 00:00;0;;
FRC;10.03.1989 00:00;0;;
FRC;11.03.1989 00:00;0;;
FRC;12.03.1989 00:00;0;;
FRC;13.03.1989 00:00;16;;
FRC;14.03.1989 00:00;0.6;;
FRC;15.03.1989 00:00;10.1;;
FRC;16.03.1989 00:00;5.4;;
FRC;17.03.1989 00:00;27.8;;
FRC;18.03.1989 00:00;0.2;;
FRC;19.03.1989 00:00;0;;
FRC;20.03.1989 00:00;0;;
FRC;21.03.1989 00:00;1.5;;
FRC;22.03.1989 00:00;7.8;;
FRC;23.03.1989 00:00;0;;
FRC;24.03.1989 00:00;0;;
FRC;25.03.1989 00:00;0;;
FRC;26.03.1989 00:00;0;;
FRC;27.03.1989 00:00;0;;
FRC;28.03.1989 00:00;0;;
FRC;29.03.1989 00:00;0;;
FRC;30.03.1989 00:00;0;;
FRC;31.03.1989 00:00;0.4;;
FRC;01.04.1989 00:00;31.6;;
FRC;02.04.1989 00:00;0;;
FRC;03.04.1989 00:00;0;;
FRC;04.04.1989 00:00;34;;
FRC;05.04.1989 00:00;4.4;;
FRC;06.04.1989 00:00;1.9;;
FRC;07.04.1989 00:00;0;;
FRC;08.04.1989 00:00;3.6;;
FRC;09.04.1989 00:00;0;;
FRC;10.04.1989 00:00;0;;
FRC;11.04.1989 00:00;0;;
FRC;12.04.1989 00:00;29;;
FRC;13.04.1989 00:00;27.6;;
FRC;14.04.1989 00:00;27.2;;
FRC;15.04.1989 00:00;0;;
FRC;16.04.1989 00:00;10.8;;
FRC;17.04.1989 00:00;17.5;;
FRC;18.04.1989 00:00;1;;
FRC;19.04.1989 00:00;5.6;;
FRC;20.04.1989 00:00;0.6;;
FRC;21.04.1989 00:00;18.2;;
FRC;22.04.1989 00:00;1.9;;
FRC;23.04.1989 00:00;0;;
FRC;24.04.1989 00:00;0.2;;
FRC;25.04.1989 00:00;4.3;;
FRC;26.04.1989 00:00;14.3;;
FRC;27.04.1989 00:00;1;;
FRC;28.04.1989 00:00;1;;
FRC;29.04.1989 00:00;0;;
FRC;30.04.1989 00:00;0;;
FRC;01.05.1989 00:00;0;;
FRC;02.05.1989 00:00;0;;
FRC;03.05.1989 00:00;0;;
FRC;04.05.1989 00:00;0;;
FRC;05.05.1989 00:00;0;;
FRC;06.05.1989 00:00;0;;
FRC;07.05.1989 00:00;0;;
FRC;08.05.1989 00:00;0;;
FRC;09.05.1989 00:00;1.4;;
FRC;10.05.1989 00:00;16.4;;
FRC;11.05.1989 00:00;11.6;;
FRC;12.05.1989 00:00;22.3;;
FRC;13.05.1989 00:00;0.4;;
FRC;14.05.1989 00:00;0.1;;
FRC;15.05.1989 00:00;0;;
FRC;16.05.1989 00:00;0;;
FRC;17.05.1989 00:00;0;;
FRC;18.05.1989 00:00;10.9;;
FRC;19.05.1989 00:00;0;;
FRC;20.05.1989 00:00;0;;
FRC;21.05.1989 00:00;0;;
FRC;22.05.1989 00:00;1.9;;
FRC;23.05.1989 00:00;0;;
FRC;24.05.1989 00:00;0;;
FRC;25.05.1989 00:00;0.5;;
FRC;26.05.1989 00:00;17.6;;
FRC;27.05.1989 00:00;8.5;;
FRC;28.05.1989 00:00;0;;
FRC;29.05.1989 00:00;0.5;;
FRC;30.05.1989 00:00;5.3;;
FRC;31.05.1989 00:00;0.5;;
FRC;01.06.1989 00:00;3.9;;
FRC;02.06.1989 00:00;12;;
FRC;03.06.1989 00:00;0;;
FRC;04.06.1989 00:00;10;;
FRC;05.06.1989 00:00;2.5;;
FRC;06.06.1989 00:00;5.2;;
FRC;07.06.1989 00:00;2.3;;
FRC;08.06.1989 00:00;0;;
FRC;09.06.1989 00:00;0;;
FRC;10.06.1989 00:00;2.2;;
FRC;11.06.1989 00:00;0;;
FRC;12.06.1989 00:00;0;;
FRC;13.06.1989 00:00;0;;
FRC;14.06.1989 00:00;0;;
FRC;15.06.1989 00:00;0;;
FRC;16.06.1989 00:00;0;;
FRC;17.06.1989 00:00;0;;
FRC;18.06.1989 00:00;0;;
FRC;19.06.1989 00:00;0;;
FRC;20.06.1989 00:00;0;;
