station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TAW;22.03.1990 00:00;21.4;;
TAW;23.03.1990 00:00;0.9;;
TAW;24.03.1990 00:00;0;;
TAW;25.03.1990 00:00;14.7;;
TAW;26.03.1990 00:00;3.8;;
TAW;27.03.1990 00:00;10;;
TAW;28.03.1990 00:00;3.6;;
TAW;29.03.1990 00:00;2.8;;
TAW;30.03.1990 00:00;0;;
TAW;31.03.1990 00:00;0;;
TAW;01.04.1990 00:00;0;;
TAW;02.04.1990 00:00;0;;
TAW;03.04.1990 00:00;2.9;;
TAW;04.04.1990 00:00;0;;
TAW;05.04.1990 00:00;0;;
TAW;06.04.1990 00:00;0;;
TAW;07.04.1990 00:00;10;;
TAW;08.04.1990 00:00;1.6;;
TAW;09.04.1990 00:00;0;;
TAW;10.04.1990 00:00;0;;
TAW;11.04.1990 00:00;12.1;;
TAW;12.04.1990 00:00;0;;
TAW;13.04.1990 00:00;0;;
TAW;14.04.1990 00:00;3;;
TAW;15.04.1990 00:00;7;;
TAW;16.04.1990 00:00;2.3;;
TAW;17.04.1990 00:00;8.2;;
TAW;18.04.1990 00:00;3.4;;
TAW;19.04.1990 00:00;0.2;;
TAW;20.04.1990 00:00;0;;
TAW;21.04.1990 00:00;0;;
TAW;22.04.1990 00:00;3.7;;
TAW;23.04.1990 00:00;2.6;;
TAW;24.04.1990 00:00;4;;
TAW;25.04.1990 00:00;2.1;;
TAW;26.04.1990 00:00;2;;
TAW;27.04.1990 00:00;3.5;;
TAW;28.04.1990 00:00;0;;
TAW;29.04.1990 00:00;0;;
TAW;30.04.1990 00:00;0;;
TAW;01.05.1990 00:00;0;;
TAW;02.05.1990 00:00;0;;
TAW;03.05.1990 00:00;0;;
TAW;04.05.1990 00:00;0;;
TAW;05.05.1990 00:00;0;;
TAW;06.05.1990 00:00;0.6;;
TAW;07.05.1990 00:00;2;;
TAW;08.05.1990 00:00;2;;
TAW;09.05.1990 00:00;8.1;;
TAW;10.05.1990 00:00;10.2;;
TAW;11.05.1990 00:00;13.9;;
TAW;12.05.1990 00:00;0.2;;
TAW;13.05.1990 00:00;5.6;;
TAW;14.05.1990 00:00;1.3;;
TAW;15.05.1990 00:00;1.2;;
TAW;16.05.1990 00:00;12.1;;
TAW;17.05.1990 00:00;0;;
TAW;18.05.1990 00:00;0;;
TAW;19.05.1990 00:00;0;;
TAW;20.05.1990 00:00;0;;
TAW;21.05.1990 00:00;3.6;;
TAW;22.05.1990 00:00;0;;
TAW;23.05.1990 00:00;0;;
TAW;24.05.1990 00:00;55.3;;
TAW;25.05.1990 00:00;39.2;;
TAW;26.05.1990 00:00;0;;
TAW;27.05.1990 00:00;0;;
TAW;28.05.1990 00:00;3.2;;
TAW;29.05.1990 00:00;0;;
TAW;30.05.1990 00:00;0;;
TAW;31.05.1990 00:00;0;;
TAW;01.06.1990 00:00;0;;
TAW;02.06.1990 00:00;9.5;;
TAW;03.06.1990 00:00;5.6;;
TAW;04.06.1990 00:00;9.1;;
TAW;05.06.1990 00:00;16.4;;
TAW;06.06.1990 00:00;3;;
TAW;07.06.1990 00:00;8.5;;
TAW;08.06.1990 00:00;16.1;;
TAW;09.06.1990 00:00;12.9;;
TAW;10.06.1990 00:00;6.9;;
TAW;11.06.1990 00:00;0;;
TAW;12.06.1990 00:00;19;;
TAW;13.06.1990 00:00;4.2;;
TAW;14.06.1990 00:00;0;;
TAW;15.06.1990 00:00;1.1;;
TAW;16.06.1990 00:00;0;;
TAW;17.06.1990 00:00;0;;
TAW;18.06.1990 00:00;1.8;;
TAW;19.06.1990 00:00;0;;
TAW;20.06.1990 00:00;19.6;;
TAW;21.06.1990 00:00;0.6;;
TAW;22.06.1990 00:00;5.3;;
TAW;23.06.1990 00:00;2.3;;
TAW;24.06.1990 00:00;0;;
TAW;25.06.1990 00:00;0;;
TAW;26.06.1990 00:00;0;;
TAW;27.06.1990 00:00;32.5;;
TAW;28.06.1990 00:00;0;;
TAW;29.06.1990 00:00;19.9;;
TAW;30.06.1990 00:00;18.8;;
TAW;01.07.1990 00:00;0.6;;
TAW;02.07.1990 00:00;0;;
TAW;03.07.1990 00:00;22.6;;
TAW;04.07.1990 00:00;0.6;;
TAW;05.07.1990 00:00;17.4;;
TAW;06.07.1990 00:00;0;;
TAW;07.07.1990 00:00;23.8;;
TAW;08.07.1990 00:00;7.3;;
TAW;09.07.1990 00:00;12.3;;
TAW;10.07.1990 00:00;4.8;;
TAW;11.07.1990 00:00;0;;
TAW;12.07.1990 00:00;0;;
TAW;13.07.1990 00:00;0;;
TAW;14.07.1990 00:00;0;;
TAW;15.07.1990 00:00;0;;
TAW;16.07.1990 00:00;0;;
TAW;17.07.1990 00:00;19.6;;
TAW;18.07.1990 00:00;0;;
TAW;19.07.1990 00:00;0;;
TAW;20.07.1990 00:00;0;;
TAW;21.07.1990 00:00;0;;
TAW;22.07.1990 00:00;0;;
TAW;23.07.1990 00:00;0;;
TAW;24.07.1990 00:00;0;;
TAW;25.07.1990 00:00;0;;
TAW;26.07.1990 00:00;0;;
TAW;27.07.1990 00:00;0;;
TAW;28.07.1990 00:00;0;;
TAW;29.07.1990 00:00;5.5;;
TAW;30.07.1990 00:00;5.1;;
TAW;31.07.1990 00:00;0.5;;
TAW;01.08.1990 00:00;0;;
TAW;02.08.1990 00:00;0;;
TAW;03.08.1990 00:00;0;;
TAW;04.08.1990 00:00;0;;
TAW;05.08.1990 00:00;5.3;;
TAW;06.08.1990 00:00;35.1;;
TAW;07.08.1990 00:00;0;;
TAW;08.08.1990 00:00;0;;
TAW;09.08.1990 00:00;0;;
TAW;10.08.1990 00:00;0;;
TAW;11.08.1990 00:00;0;;
TAW;12.08.1990 00:00;0;;
TAW;13.08.1990 00:00;2.5;;
TAW;14.08.1990 00:00;28.1;;
TAW;15.08.1990 00:00;2.3;;
TAW;16.08.1990 00:00;10;;
TAW;17.08.1990 00:00;4.6;;
TAW;18.08.1990 00:00;0;;
TAW;19.08.1990 00:00;0;;
TAW;20.08.1990 00:00;0;;
TAW;21.08.1990 00:00;0;;
TAW;22.08.1990 00:00;0;;
TAW;23.08.1990 00:00;0;;
TAW;24.08.1990 00:00;0;;
TAW;25.08.1990 00:00;63.8;;
TAW;26.08.1990 00:00;23.1;;
TAW;27.08.1990 00:00;0.2;;
TAW;28.08.1990 00:00;0;;
TAW;29.08.1990 00:00;0;;
TAW;30.08.1990 00:00;0;;
TAW;31.08.1990 00:00;8.6;;
TAW;01.09.1990 00:00;0;;
TAW;02.09.1990 00:00;1.4;;
TAW;03.09.1990 00:00;7.4;;
TAW;04.09.1990 00:00;15.7;;
TAW;05.09.1990 00:00;0;;
TAW;06.09.1990 00:00;2;;
TAW;07.09.1990 00:00;11.4;;
TAW;08.09.1990 00:00;0;;
TAW;09.09.1990 00:00;0;;
TAW;10.09.1990 00:00;13.7;;
TAW;11.09.1990 00:00;0;;
TAW;12.09.1990 00:00;0;;
TAW;13.09.1990 00:00;0;;
TAW;14.09.1990 00:00;0;;
TAW;15.09.1990 00:00;1.6;;
TAW;16.09.1990 00:00;0;;
TAW;17.09.1990 00:00;0.6;;
TAW;18.09.1990 00:00;0;;
TAW;19.09.1990 00:00;0;;
TAW;20.09.1990 00:00;0;;
TAW;21.09.1990 00:00;0.7;;
TAW;22.09.1990 00:00;37.9;;
TAW;23.09.1990 00:00;29.3;;
TAW;24.09.1990 00:00;0.3;;
TAW;25.09.1990 00:00;0;;
TAW;26.09.1990 00:00;0;;
TAW;27.09.1990 00:00;0;;
TAW;28.09.1990 00:00;0;;
TAW;29.09.1990 00:00;0;;
TAW;30.09.1990 00:00;6.6;;
TAW;01.10.1990 00:00;20.6;;
TAW;02.10.1990 00:00;0.3;;
TAW;03.10.1990 00:00;0;;
TAW;04.10.1990 00:00;22.1;;
TAW;05.10.1990 00:00;0;;
TAW;06.10.1990 00:00;0;;
TAW;07.10.1990 00:00;11.8;;
TAW;08.10.1990 00:00;2.3;;
TAW;09.10.1990 00:00;0;;
TAW;10.10.1990 00:00;0;;
TAW;11.10.1990 00:00;0;;
TAW;12.10.1990 00:00;0;;
TAW;13.10.1990 00:00;0;;
TAW;14.10.1990 00:00;0;;
TAW;15.10.1990 00:00;0;;
TAW;16.10.1990 00:00;0.4;;
TAW;17.10.1990 00:00;0;;
TAW;18.10.1990 00:00;0;;
TAW;19.10.1990 00:00;0;;
TAW;20.10.1990 00:00;0;;
TAW;21.10.1990 00:00;0;;
TAW;22.10.1990 00:00;0;;
TAW;23.10.1990 00:00;0;;
TAW;24.10.1990 00:00;0;;
TAW;25.10.1990 00:00;1;;
TAW;26.10.1990 00:00;7;;
TAW;27.10.1990 00:00;2.4;;
TAW;28.10.1990 00:00;2;;
TAW;29.10.1990 00:00;29.2;;
TAW;30.10.1990 00:00;3.3;;
TAW;31.10.1990 00:00;15.8;;
TAW;01.11.1990 00:00;2;;
TAW;02.11.1990 00:00;0.4;;
TAW;03.11.1990 00:00;4;;
TAW;04.11.1990 00:00;7.7;;
TAW;05.11.1990 00:00;5.3;;
TAW;06.11.1990 00:00;0;;
TAW;07.11.1990 00:00;0;;
TAW;08.11.1990 00:00;0;;
TAW;09.11.1990 00:00;0;;
TAW;10.11.1990 00:00;6.5;;
TAW;11.11.1990 00:00;17.7;;
TAW;12.11.1990 00:00;0;;
TAW;13.11.1990 00:00;0.5;;
TAW;14.11.1990 00:00;7.8;;
TAW;15.11.1990 00:00;12.7;;
TAW;16.11.1990 00:00;0;;
TAW;17.11.1990 00:00;0;;
TAW;18.11.1990 00:00;0.5;;
TAW;19.11.1990 00:00;0;;
TAW;20.11.1990 00:00;5.1;;
TAW;21.11.1990 00:00;5.8;;
TAW;22.11.1990 00:00;12.9;;
TAW;23.11.1990 00:00;1.1;;
TAW;24.11.1990 00:00;0;;
TAW;25.11.1990 00:00;2.1;;
TAW;26.11.1990 00:00;0;;
TAW;27.11.1990 00:00;5.5;;
TAW;28.11.1990 00:00;0.9;;
TAW;29.11.1990 00:00;0;;
TAW;30.11.1990 00:00;7.3;;
TAW;01.12.1990 00:00;0;;
TAW;02.12.1990 00:00;0;;
TAW;03.12.1990 00:00;0;;
TAW;04.12.1990 00:00;8.5;;
TAW;05.12.1990 00:00;2;;
TAW;06.12.1990 00:00;0;;
TAW;07.12.1990 00:00;0;;
TAW;08.12.1990 00:00;0;;
TAW;09.12.1990 00:00;0;;
TAW;10.12.1990 00:00;1.5;;
TAW;11.12.1990 00:00;0;;
TAW;12.12.1990 00:00;4.2;;
TAW;13.12.1990 00:00;3.3;;
TAW;14.12.1990 00:00;1.7;;
TAW;15.12.1990 00:00;2;;
TAW;16.12.1990 00:00;0;;
TAW;17.12.1990 00:00;0;;
TAW;18.12.1990 00:00;0.8;;
TAW;19.12.1990 00:00;3.2;;
TAW;20.12.1990 00:00;0;;
TAW;21.12.1990 00:00;5.1;;
TAW;22.12.1990 00:00;0;;
TAW;23.12.1990 00:00;0;;
TAW;24.12.1990 00:00;0;;
TAW;25.12.1990 00:00;0;;
TAW;26.12.1990 00:00;1.2;;
TAW;27.12.1990 00:00;2.1;;
TAW;28.12.1990 00:00;0;;
TAW;29.12.1990 00:00;0.6;;
TAW;30.12.1990 00:00;4.8;;
TAW;31.12.1990 00:00;8.1;;
TAW;01.01.1991 00:00;12.9;;
TAW;02.01.1991 00:00;14.6;;
TAW;03.01.1991 00:00;0;;
TAW;04.01.1991 00:00;1.6;;
TAW;05.01.1991 00:00;1.8;;
TAW;06.01.1991 00:00;2.8;;
TAW;07.01.1991 00:00;4.3;;
TAW;08.01.1991 00:00;0;;
TAW;09.01.1991 00:00;0;;
TAW;10.01.1991 00:00;0;;
TAW;11.01.1991 00:00;8;;
TAW;12.01.1991 00:00;15.8;;
TAW;13.01.1991 00:00;6.5;;
TAW;14.01.1991 00:00;0;;
TAW;15.01.1991 00:00;0;;
TAW;16.01.1991 00:00;0;;
TAW;17.01.1991 00:00;0;;
TAW;18.01.1991 00:00;0;;
TAW;19.01.1991 00:00;0;;
TAW;20.01.1991 00:00;0;;
TAW;21.01.1991 00:00;2.1;;
TAW;22.01.1991 00:00;0;;
TAW;23.01.1991 00:00;0;;
TAW;24.01.1991 00:00;0;;
TAW;25.01.1991 00:00;0;;
TAW;26.01.1991 00:00;0;;
TAW;27.01.1991 00:00;0;;
TAW;28.01.1991 00:00;0;;
TAW;29.01.1991 00:00;0;;
TAW;30.01.1991 00:00;0;;
TAW;31.01.1991 00:00;0;;
TAW;01.02.1991 00:00;0;;
TAW;02.02.1991 00:00;0;;
TAW;03.02.1991 00:00;0;;
TAW;04.02.1991 00:00;0;;
TAW;05.02.1991 00:00;2.9;;
TAW;06.02.1991 00:00;0.7;;
TAW;07.02.1991 00:00;0;;
TAW;08.02.1991 00:00;0;;
TAW;09.02.1991 00:00;0;;
TAW;10.02.1991 00:00;2.1;;
TAW;11.02.1991 00:00;0;;
TAW;12.02.1991 00:00;1.7;;
TAW;13.02.1991 00:00;0.5;;
TAW;14.02.1991 00:00;1.2;;
TAW;15.02.1991 00:00;0.9;;
TAW;16.02.1991 00:00;2.6;;
TAW;17.02.1991 00:00;0;;
TAW;18.02.1991 00:00;0;;
TAW;19.02.1991 00:00;0;;
TAW;20.02.1991 00:00;0;;
TAW;21.02.1991 00:00;0;;
TAW;22.02.1991 00:00;1.9;;
TAW;23.02.1991 00:00;0;;
TAW;24.02.1991 00:00;0;;
TAW;25.02.1991 00:00;0;;
TAW;26.02.1991 00:00;0;;
TAW;27.02.1991 00:00;0;;
TAW;28.02.1991 00:00;0.2;;
TAW;01.03.1991 00:00;0;;
TAW;02.03.1991 00:00;3;;
TAW;03.03.1991 00:00;0.6;;
TAW;04.03.1991 00:00;0;;
TAW;05.03.1991 00:00;0;;
TAW;06.03.1991 00:00;0;;
TAW;07.03.1991 00:00;0;;
TAW;08.03.1991 00:00;0;;
TAW;09.03.1991 00:00;8.3;;
TAW;10.03.1991 00:00;0;;
TAW;11.03.1991 00:00;0;;
TAW;12.03.1991 00:00;0;;
TAW;13.03.1991 00:00;0;;
TAW;14.03.1991 00:00;0;;
TAW;15.03.1991 00:00;0;;
TAW;16.03.1991 00:00;0;;
TAW;17.03.1991 00:00;0;;
TAW;18.03.1991 00:00;0.2;;
TAW;19.03.1991 00:00;14.2;;
TAW;20.03.1991 00:00;0;;
TAW;21.03.1991 00:00;0;;
TAW;22.03.1991 00:00;15.8;;
TAW;23.03.1991 00:00;0;;
TAW;24.03.1991 00:00;0;;
TAW;25.03.1991 00:00;0.6;;
TAW;26.03.1991 00:00;13.1;;
TAW;27.03.1991 00:00;2.7;;
TAW;28.03.1991 00:00;1.8;;
TAW;29.03.1991 00:00;0;;
TAW;30.03.1991 00:00;0;;
TAW;31.03.1991 00:00;0;;
TAW;01.04.1991 00:00;0;;
TAW;02.04.1991 00:00;0;;
TAW;03.04.1991 00:00;12.6;;
TAW;04.04.1991 00:00;12.3;;
TAW;05.04.1991 00:00;12.6;;
TAW;06.04.1991 00:00;0;;
TAW;07.04.1991 00:00;0;;
TAW;08.04.1991 00:00;0;;
TAW;09.04.1991 00:00;0;;
TAW;10.04.1991 00:00;0;;
TAW;11.04.1991 00:00;0;;
TAW;12.04.1991 00:00;0;;
TAW;13.04.1991 00:00;0;;
TAW;14.04.1991 00:00;0;;
TAW;15.04.1991 00:00;0;;
TAW;16.04.1991 00:00;7.3;;
TAW;17.04.1991 00:00;0.7;;
TAW;18.04.1991 00:00;13;;
TAW;19.04.1991 00:00;1.8;;
TAW;20.04.1991 00:00;0;;
TAW;21.04.1991 00:00;0;;
TAW;22.04.1991 00:00;1.1;;
TAW;23.04.1991 00:00;9.6;;
TAW;24.04.1991 00:00;0;;
TAW;25.04.1991 00:00;0;;
TAW;26.04.1991 00:00;0;;
TAW;27.04.1991 00:00;0;;
TAW;28.04.1991 00:00;10.1;;
TAW;29.04.1991 00:00;5.9;;
TAW;30.04.1991 00:00;3.6;;
TAW;01.05.1991 00:00;10.5;;
TAW;02.05.1991 00:00;8;;
TAW;03.05.1991 00:00;12.8;;
TAW;04.05.1991 00:00;4.4;;
TAW;05.05.1991 00:00;1.5;;
TAW;06.05.1991 00:00;5.1;;
TAW;07.05.1991 00:00;1.3;;
TAW;08.05.1991 00:00;0;;
TAW;09.05.1991 00:00;0;;
TAW;10.05.1991 00:00;14.9;;
TAW;11.05.1991 00:00;68;;
TAW;12.05.1991 00:00;2;;
TAW;13.05.1991 00:00;0;;
TAW;14.05.1991 00:00;11.3;;
TAW;15.05.1991 00:00;16.2;;
TAW;16.05.1991 00:00;11.6;;
TAW;17.05.1991 00:00;7.7;;
TAW;18.05.1991 00:00;2.7;;
TAW;19.05.1991 00:00;0;;
TAW;20.05.1991 00:00;0;;
TAW;21.05.1991 00:00;0;;
TAW;22.05.1991 00:00;0;;
TAW;23.05.1991 00:00;0;;
TAW;24.05.1991 00:00;0;;
TAW;25.05.1991 00:00;10.8;;
TAW;26.05.1991 00:00;5.6;;
TAW;27.05.1991 00:00;0;;
TAW;28.05.1991 00:00;0;;
TAW;29.05.1991 00:00;0;;
TAW;30.05.1991 00:00;0;;
TAW;31.05.1991 00:00;0;;
TAW;01.06.1991 00:00;0;;
TAW;02.06.1991 00:00;6.2;;
TAW;03.06.1991 00:00;7;;
TAW;04.06.1991 00:00;0.5;;
TAW;05.06.1991 00:00;0;;
TAW;06.06.1991 00:00;6.3;;
TAW;07.06.1991 00:00;2.3;;
TAW;08.06.1991 00:00;13;;
TAW;09.06.1991 00:00;13.9;;
TAW;10.06.1991 00:00;1.1;;
TAW;11.06.1991 00:00;0;;
TAW;12.06.1991 00:00;1.9;;
TAW;13.06.1991 00:00;11.7;;
TAW;14.06.1991 00:00;0;;
TAW;15.06.1991 00:00;0.6;;
TAW;16.06.1991 00:00;61.4;;
TAW;17.06.1991 00:00;62.4;;
TAW;18.06.1991 00:00;1.1;;
TAW;19.06.1991 00:00;0;;
TAW;20.06.1991 00:00;7.5;;
TAW;21.06.1991 00:00;0;;
TAW;22.06.1991 00:00;4.7;;
TAW;23.06.1991 00:00;4.7;;
TAW;24.06.1991 00:00;2.7;;
TAW;25.06.1991 00:00;0;;
TAW;26.06.1991 00:00;6.3;;
TAW;27.06.1991 00:00;17.1;;
TAW;28.06.1991 00:00;30.1;;
TAW;29.06.1991 00:00;8.1;;
TAW;30.06.1991 00:00;0;;
TAW;01.07.1991 00:00;0;;
TAW;02.07.1991 00:00;0;;
TAW;03.07.1991 00:00;0;;
TAW;04.07.1991 00:00;0;;
TAW;05.07.1991 00:00;0;;
TAW;06.07.1991 00:00;0;;
TAW;07.07.1991 00:00;0;;
TAW;08.07.1991 00:00;0;;
TAW;09.07.1991 00:00;3.2;;
TAW;10.07.1991 00:00;0;;
TAW;11.07.1991 00:00;0;;
TAW;12.07.1991 00:00;2.2;;
TAW;13.07.1991 00:00;2;;
TAW;14.07.1991 00:00;20.8;;
TAW;15.07.1991 00:00;0;;
TAW;16.07.1991 00:00;0;;
TAW;17.07.1991 00:00;22.2;;
TAW;18.07.1991 00:00;0;;
TAW;19.07.1991 00:00;0;;
TAW;20.07.1991 00:00;0;;
TAW;21.07.1991 00:00;0;;
TAW;22.07.1991 00:00;0;;
TAW;23.07.1991 00:00;4.9;;
TAW;24.07.1991 00:00;21.6;;
TAW;25.07.1991 00:00;16;;
TAW;26.07.1991 00:00;43.6;;
TAW;27.07.1991 00:00;21.2;;
TAW;28.07.1991 00:00;0;;
TAW;29.07.1991 00:00;0;;
TAW;30.07.1991 00:00;0;;
TAW;31.07.1991 00:00;10.9;;
TAW;01.08.1991 00:00;43.1;;
TAW;02.08.1991 00:00;3.4;;
TAW;03.08.1991 00:00;0;;
TAW;04.08.1991 00:00;0;;
TAW;05.08.1991 00:00;0;;
TAW;06.08.1991 00:00;0;;
TAW;07.08.1991 00:00;0;;
TAW;08.08.1991 00:00;2.2;;
TAW;09.08.1991 00:00;0;;
TAW;10.08.1991 00:00;0;;
TAW;11.08.1991 00:00;0;;
TAW;12.08.1991 00:00;8.2;;
TAW;13.08.1991 00:00;0;;
TAW;14.08.1991 00:00;0;;
TAW;15.08.1991 00:00;0;;
TAW;16.08.1991 00:00;0;;
TAW;17.08.1991 00:00;0;;
TAW;18.08.1991 00:00;0;;
TAW;19.08.1991 00:00;0;;
TAW;20.08.1991 00:00;0;;
TAW;21.08.1991 00:00;0;;
TAW;22.08.1991 00:00;0;;
TAW;23.08.1991 00:00;12.8;;
TAW;24.08.1991 00:00;0;;
TAW;25.08.1991 00:00;0;;
TAW;26.08.1991 00:00;0;;
TAW;27.08.1991 00:00;0;;
TAW;28.08.1991 00:00;0;;
TAW;29.08.1991 00:00;0;;
TAW;30.08.1991 00:00;0;;
TAW;31.08.1991 00:00;0;;
TAW;01.09.1991 00:00;0;;
TAW;02.09.1991 00:00;0;;
TAW;03.09.1991 00:00;0;;
TAW;04.09.1991 00:00;0;;
TAW;05.09.1991 00:00;0;;
TAW;06.09.1991 00:00;0;;
TAW;07.09.1991 00:00;0;;
TAW;08.09.1991 00:00;0;;
TAW;09.09.1991 00:00;0;;
TAW;10.09.1991 00:00;0;;
TAW;11.09.1991 00:00;31.4;;
TAW;12.09.1991 00:00;1.5;;
TAW;13.09.1991 00:00;0.5;;
TAW;14.09.1991 00:00;0;;
TAW;15.09.1991 00:00;0;;
TAW;16.09.1991 00:00;1.1;;
TAW;17.09.1991 00:00;0;;
TAW;18.09.1991 00:00;0;;
TAW;19.09.1991 00:00;0;;
TAW;20.09.1991 00:00;1.7;;
TAW;21.09.1991 00:00;0;;
TAW;22.09.1991 00:00;25.3;;
TAW;23.09.1991 00:00;0.9;;
TAW;24.09.1991 00:00;0;;
TAW;25.09.1991 00:00;0;;
TAW;26.09.1991 00:00;33.9;;
TAW;27.09.1991 00:00;16.5;;
TAW;28.09.1991 00:00;0;;
TAW;29.09.1991 00:00;2.2;;
TAW;30.09.1991 00:00;19.5;;
TAW;01.10.1991 00:00;3.3;;
TAW;02.10.1991 00:00;0;;
TAW;03.10.1991 00:00;0;;
TAW;04.10.1991 00:00;0;;
TAW;05.10.1991 00:00;0;;
TAW;06.10.1991 00:00;6.6;;
TAW;07.10.1991 00:00;0;;
TAW;08.10.1991 00:00;0;;
TAW;09.10.1991 00:00;0;;
TAW;10.10.1991 00:00;0;;
TAW;11.10.1991 00:00;0;;
TAW;12.10.1991 00:00;3.5;;
TAW;13.10.1991 00:00;0;;
TAW;14.10.1991 00:00;0;;
TAW;15.10.1991 00:00;0;;
TAW;16.10.1991 00:00;0;;
TAW;17.10.1991 00:00;12.5;;
TAW;18.10.1991 00:00;2;;
TAW;19.10.1991 00:00;8.7;;
TAW;20.10.1991 00:00;5.9;;
TAW;21.10.1991 00:00;1.2;;
TAW;22.10.1991 00:00;0;;
TAW;23.10.1991 00:00;0;;
TAW;24.10.1991 00:00;0;;
TAW;25.10.1991 00:00;0;;
TAW;26.10.1991 00:00;0;;
TAW;27.10.1991 00:00;0;;
TAW;28.10.1991 00:00;0;;
TAW;29.10.1991 00:00;0;;
TAW;30.10.1991 00:00;1;;
TAW;31.10.1991 00:00;0;;
TAW;01.11.1991 00:00;0;;
TAW;02.11.1991 00:00;1.6;;
TAW;03.11.1991 00:00;3.5;;
TAW;04.11.1991 00:00;4.2;;
TAW;05.11.1991 00:00;6.4;;
TAW;06.11.1991 00:00;5.1;;
TAW;07.11.1991 00:00;1;;
TAW;08.11.1991 00:00;0.8;;
TAW;09.11.1991 00:00;9.1;;
TAW;10.11.1991 00:00;0;;
TAW;11.11.1991 00:00;0.2;;
TAW;12.11.1991 00:00;0;;
TAW;13.11.1991 00:00;8.1;;
TAW;14.11.1991 00:00;1;;
TAW;15.11.1991 00:00;0;;
TAW;16.11.1991 00:00;33;;
TAW;17.11.1991 00:00;1.8;;
TAW;18.11.1991 00:00;6;;
TAW;19.11.1991 00:00;0;;
TAW;20.11.1991 00:00;11.4;;
TAW;21.11.1991 00:00;1.4;;
TAW;22.11.1991 00:00;0;;
TAW;23.11.1991 00:00;0;;
TAW;24.11.1991 00:00;0;;
TAW;25.11.1991 00:00;0;;
TAW;26.11.1991 00:00;0;;
TAW;27.11.1991 00:00;0;;
TAW;28.11.1991 00:00;0;;
TAW;29.11.1991 00:00;0;;
TAW;30.11.1991 00:00;0;;
TAW;01.12.1991 00:00;0;;
TAW;02.12.1991 00:00;0;;
TAW;03.12.1991 00:00;0;;
TAW;04.12.1991 00:00;0;;
TAW;05.12.1991 00:00;0.9;;
TAW;06.12.1991 00:00;0;;
TAW;07.12.1991 00:00;0;;
TAW;08.12.1991 00:00;0;;
TAW;09.12.1991 00:00;0;;
TAW;10.12.1991 00:00;0;;
TAW;11.12.1991 00:00;0;;
TAW;12.12.1991 00:00;0;;
TAW;13.12.1991 00:00;0;;
TAW;14.12.1991 00:00;0;;
TAW;15.12.1991 00:00;0;;
TAW;16.12.1991 00:00;0;;
TAW;17.12.1991 00:00;4;;
TAW;18.12.1991 00:00;9.4;;
TAW;19.12.1991 00:00;5.1;;
TAW;20.12.1991 00:00;3;;
TAW;21.12.1991 00:00;3.1;;
TAW;22.12.1991 00:00;7.9;;
TAW;23.12.1991 00:00;1;;
TAW;24.12.1991 00:00;5.3;;
TAW;25.12.1991 00:00;2.4;;
TAW;26.12.1991 00:00;1.2;;
TAW;27.12.1991 00:00;5.9;;
TAW;28.12.1991 00:00;0;;
TAW;29.12.1991 00:00;0;;
TAW;30.12.1991 00:00;0;;
TAW;31.12.1991 00:00;0;;
TAW;01.01.1992 00:00;0;;
TAW;02.01.1992 00:00;0;;
TAW;03.01.1992 00:00;0;;
TAW;04.01.1992 00:00;0;;
TAW;05.01.1992 00:00;0;;
TAW;06.01.1992 00:00;0;;
TAW;07.01.1992 00:00;0;;
TAW;08.01.1992 00:00;0;;
TAW;09.01.1992 00:00;0;;
TAW;10.01.1992 00:00;1.5;;
TAW;11.01.1992 00:00;0;;
TAW;12.01.1992 00:00;0;;
TAW;13.01.1992 00:00;0;;
TAW;14.01.1992 00:00;0;;
TAW;15.01.1992 00:00;0;;
TAW;16.01.1992 00:00;0;;
TAW;17.01.1992 00:00;0;;
TAW;18.01.1992 00:00;0;;
TAW;19.01.1992 00:00;3.1;;
TAW;20.01.1992 00:00;0.8;;
TAW;21.01.1992 00:00;0;;
TAW;22.01.1992 00:00;0;;
TAW;23.01.1992 00:00;0;;
TAW;24.01.1992 00:00;0;;
TAW;25.01.1992 00:00;0;;
TAW;26.01.1992 00:00;0;;
TAW;27.01.1992 00:00;0;;
TAW;28.01.1992 00:00;0;;
TAW;29.01.1992 00:00;0;;
TAW;30.01.1992 00:00;0;;
TAW;31.01.1992 00:00;0;;
TAW;01.02.1992 00:00;0;;
TAW;02.02.1992 00:00;0;;
TAW;03.02.1992 00:00;5;;
TAW;04.02.1992 00:00;9.5;;
TAW;05.02.1992 00:00;5.6;;
TAW;06.02.1992 00:00;0.9;;
TAW;07.02.1992 00:00;0;;
TAW;08.02.1992 00:00;0;;
TAW;09.02.1992 00:00;1.3;;
TAW;10.02.1992 00:00;0;;
TAW;11.02.1992 00:00;4.7;;
TAW;12.02.1992 00:00;0.4;;
TAW;13.02.1992 00:00;9.7;;
TAW;14.02.1992 00:00;0.5;;
TAW;15.02.1992 00:00;13.9;;
TAW;16.02.1992 00:00;6.3;;
TAW;17.02.1992 00:00;6.2;;
TAW;18.02.1992 00:00;0;;
TAW;19.02.1992 00:00;0;;
TAW;20.02.1992 00:00;0;;
TAW;21.02.1992 00:00;0;;
TAW;22.02.1992 00:00;0;;
TAW;23.02.1992 00:00;0;;
TAW;24.02.1992 00:00;0;;
TAW;25.02.1992 00:00;0;;
TAW;26.02.1992 00:00;0;;
