station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
GEA;30.01.1969 00:00;0;;
GEA;31.01.1969 00:00;0;;
GEA;01.02.1969 00:00;0;;
GEA;02.02.1969 00:00;5.4;;
GEA;03.02.1969 00:00;0;;
GEA;04.02.1969 00:00;0;;
GEA;05.02.1969 00:00;0;;
GEA;06.02.1969 00:00;0;;
GEA;07.02.1969 00:00;0.8;;
GEA;08.02.1969 00:00;0;;
GEA;09.02.1969 00:00;0;;
GEA;10.02.1969 00:00;0;;
GEA;11.02.1969 00:00;1.7;;
GEA;12.02.1969 00:00;6.6;;
GEA;13.02.1969 00:00;0;;
GEA;14.02.1969 00:00;0;;
GEA;15.02.1969 00:00;5.6;;
GEA;16.02.1969 00:00;0;;
GEA;17.02.1969 00:00;0;;
GEA;18.02.1969 00:00;6.5;;
GEA;19.02.1969 00:00;9.7;;
GEA;20.02.1969 00:00;0;;
GEA;21.02.1969 00:00;0;;
GEA;22.02.1969 00:00;0;;
GEA;23.02.1969 00:00;13;;
GEA;24.02.1969 00:00;6.5;;
GEA;25.02.1969 00:00;1.7;;
GEA;26.02.1969 00:00;0;;
GEA;27.02.1969 00:00;0;;
GEA;28.02.1969 00:00;0;;
GEA;01.03.1969 00:00;0;;
GEA;02.03.1969 00:00;0;;
GEA;03.03.1969 00:00;0;;
GEA;04.03.1969 00:00;0;;
GEA;05.03.1969 00:00;0;;
GEA;06.03.1969 00:00;0.6;;
GEA;07.03.1969 00:00;0;;
GEA;08.03.1969 00:00;0;;
GEA;09.03.1969 00:00;0;;
GEA;10.03.1969 00:00;0;;
GEA;11.03.1969 00:00;3.3;;
GEA;12.03.1969 00:00;2;;
GEA;13.03.1969 00:00;14;;
GEA;14.03.1969 00:00;8.2;;
GEA;15.03.1969 00:00;0;;
GEA;16.03.1969 00:00;3.7;;
GEA;17.03.1969 00:00;4.2;;
GEA;18.03.1969 00:00;0;;
GEA;19.03.1969 00:00;0;;
GEA;20.03.1969 00:00;0;;
GEA;21.03.1969 00:00;0;;
GEA;22.03.1969 00:00;7.3;;
GEA;23.03.1969 00:00;5.4;;
GEA;24.03.1969 00:00;2.2;;
GEA;25.03.1969 00:00;0;;
GEA;26.03.1969 00:00;0;;
GEA;27.03.1969 00:00;0;;
GEA;28.03.1969 00:00;0;;
GEA;29.03.1969 00:00;0;;
GEA;30.03.1969 00:00;0;;
GEA;31.03.1969 00:00;0;;
GEA;01.04.1969 00:00;1;;
GEA;02.04.1969 00:00;0;;
GEA;03.04.1969 00:00;0;;
GEA;04.04.1969 00:00;0;;
GEA;05.04.1969 00:00;0;;
GEA;06.04.1969 00:00;0;;
GEA;07.04.1969 00:00;0;;
GEA;08.04.1969 00:00;0;;
GEA;09.04.1969 00:00;0;;
GEA;10.04.1969 00:00;0;;
GEA;11.04.1969 00:00;0.3;;
GEA;12.04.1969 00:00;0;;
GEA;13.04.1969 00:00;0.3;;
GEA;14.04.1969 00:00;0.2;;
GEA;15.04.1969 00:00;11.5;;
GEA;16.04.1969 00:00;0;;
GEA;17.04.1969 00:00;0;;
GEA;18.04.1969 00:00;0;;
GEA;19.04.1969 00:00;0;;
GEA;20.04.1969 00:00;5.5;;
GEA;21.04.1969 00:00;7;;
GEA;22.04.1969 00:00;12.7;;
GEA;23.04.1969 00:00;0.3;;
GEA;24.04.1969 00:00;0;;
GEA;25.04.1969 00:00;0;;
GEA;26.04.1969 00:00;4.7;;
GEA;27.04.1969 00:00;38;;
GEA;28.04.1969 00:00;1.3;;
GEA;29.04.1969 00:00;0;;
GEA;30.04.1969 00:00;0;;
GEA;01.05.1969 00:00;0;;
GEA;02.05.1969 00:00;0;;
GEA;03.05.1969 00:00;37;;
GEA;04.05.1969 00:00;15;;
GEA;05.05.1969 00:00;7.4;;
GEA;06.05.1969 00:00;12.4;;
GEA;07.05.1969 00:00;2;;
GEA;08.05.1969 00:00;3;;
GEA;09.05.1969 00:00;1.9;;
GEA;10.05.1969 00:00;0;;
GEA;11.05.1969 00:00;0;;
GEA;12.05.1969 00:00;0;;
GEA;13.05.1969 00:00;0;;
GEA;14.05.1969 00:00;0;;
GEA;15.05.1969 00:00;0;;
GEA;16.05.1969 00:00;0.2;;
GEA;17.05.1969 00:00;0;;
GEA;18.05.1969 00:00;1.2;;
GEA;19.05.1969 00:00;0;;
GEA;20.05.1969 00:00;0;;
GEA;21.05.1969 00:00;0;;
GEA;22.05.1969 00:00;0;;
GEA;23.05.1969 00:00;0;;
GEA;24.05.1969 00:00;0.3;;
GEA;25.05.1969 00:00;2.2;;
GEA;26.05.1969 00:00;0;;
GEA;27.05.1969 00:00;0;;
GEA;28.05.1969 00:00;11;;
GEA;29.05.1969 00:00;0;;
GEA;30.05.1969 00:00;8.3;;
GEA;31.05.1969 00:00;1.8;;
GEA;01.06.1969 00:00;0;;
GEA;02.06.1969 00:00;0;;
GEA;03.06.1969 00:00;12;;
GEA;04.06.1969 00:00;2;;
GEA;05.06.1969 00:00;10;;
GEA;06.06.1969 00:00;0;;
GEA;07.06.1969 00:00;0;;
GEA;08.06.1969 00:00;0;;
